class,recall,precision,auc
combined_overall,1.0,0.14285714285714285,0.9998110333570859
combined_overall,1.0,0.5565294327095645,0.9998110333570859
combined_overall,1.0,0.5581212488457987,0.9998110333570859
combined_overall,1.0,0.5588287341502436,0.9998110333570859
combined_overall,1.0,0.559333735771579,0.9998110333570859
combined_overall,1.0,0.559667537127191,0.9998110333570859
combined_overall,1.0,0.5599997104785066,0.9998110333570859
combined_overall,1.0,0.5602308438690243,0.9998110333570859
combined_overall,1.0,0.5604499884098285,0.9998110333570859
combined_overall,1.0,0.5606185215913744,0.9998110333570859
combined_overall,1.0,0.5608156105481379,0.9998110333570859
combined_overall,1.0,0.5609518250927138,0.9998110333570859
combined_overall,1.0,0.5610474180752859,0.9998110333570859
combined_overall,1.0,0.5611654288035279,0.9998110333570859
combined_overall,1.0,0.5612692378841683,0.9998110333570859
combined_overall,1.0,0.5613629025529028,0.9998110333570859
combined_overall,1.0,0.561483083443401,0.9998110333570859
combined_overall,1.0,0.5615645912871805,0.9998110333570859
combined_overall,1.0,0.5616746644210038,0.9998110333570859
combined_overall,1.0,0.5617807015633055,0.9998110333570859
combined_overall,1.0,0.5618480151338555,0.9998110333570859
combined_overall,1.0,0.5619214665199566,0.9998110333570859
combined_overall,1.0,0.5619826906803514,0.9998110333570859
combined_overall,1.0,0.5620439281835583,0.9998110333570859
combined_overall,1.0,0.562103137123843,0.9998110333570859
combined_overall,1.0,0.562172570390554,0.9998110333570859
combined_overall,1.0,0.5622093361237065,0.9998110333570859
combined_overall,1.0,0.5622767524591296,0.9998110333570859
combined_overall,1.0,0.5623278362054555,0.9998110333570859
combined_overall,1.0,0.5623932369467403,0.9998110333570859
combined_overall,1.0,0.5624361644512778,0.9998110333570859
combined_overall,1.0,0.5624586529024753,0.9998110333570859
combined_overall,1.0,0.5624995456032571,0.9998110333570859
combined_overall,1.0,0.5625465795606162,0.9998110333570859
combined_overall,1.0,0.5626324879556404,0.9998110333570859
combined_overall,1.0,0.5626734059380738,0.9998110333570859
combined_overall,1.0,0.5627000058183511,0.9998110333570859
combined_overall,1.0,0.5627347940721884,0.9998110333570859
combined_overall,1.0,0.5627675398877651,0.9998110333570859
combined_overall,1.0,0.5628023364927875,0.9998110333570859
combined_overall,1.0,0.5628453264756057,0.9998110333570859
combined_overall,1.0,0.5628801327008701,0.9998110333570859
combined_overall,1.0,0.5629251824419206,0.9998110333570859
combined_overall,1.0,0.5629702393946009,0.9998110333570859
combined_overall,1.0,0.562978432342754,0.9998110333570859
combined_overall,1.0,0.5630296436719293,0.9998110333570859
combined_overall,1.0,0.5630767663241245,0.9998110333570859
combined_overall,1.0,0.563109551952022,0.9998110333570859
combined_overall,1.0,0.5631361930860801,0.9998110333570859
combined_overall,1.0,0.5631607871396492,0.9998110333570859
combined_overall,1.0,0.5631935825529297,0.9998110333570859
combined_overall,1.0,0.563212031651513,0.9998110333570859
combined_overall,1.0,0.5632489334750513,0.9998110333570859
combined_overall,1.0,0.5632673862002439,0.9998110333570859
combined_overall,1.0,0.5632919917146882,0.9998110333570859
combined_overall,1.0,0.5633309548426556,0.9998110333570859
combined_overall,1.0,0.5634253089521479,0.9998110333570859
combined_overall,1.0,0.5634560834307396,0.9998110333570859
combined_overall,1.0,0.5634745497316233,0.9998110333570859
combined_overall,1.0,0.5634971212987476,0.9998110333570859
combined_overall,1.0,0.5635258513633102,0.9998110333570859
combined_overall,1.0,0.5635566368265021,0.9998110333570859
combined_overall,1.0,0.5635730571155934,0.9998110333570859
combined_overall,1.0,0.5635956365755496,0.9998110333570859
combined_overall,1.0,0.563636694774801,0.9998110333570859
combined_overall,1.0,0.5636654390738778,0.9998110333570859
combined_overall,1.0,0.5636859725111197,0.9998110333570859
combined_overall,1.0,0.5637147218366685,0.9998110333570859
combined_overall,1.0,0.5637393664498971,0.9998110333570859
combined_overall,1.0,0.5637763374103262,0.9998110333570859
combined_overall,1.0,0.563809204557462,0.9998110333570859
combined_overall,1.0,0.5638276940118495,0.9998110333570859
combined_overall,1.0,0.5638523485041723,0.9998110333570859
combined_overall,1.0,0.5638770051527232,0.9998110333570859
combined_overall,1.0,0.5639016639577852,0.9998110333570859
combined_overall,1.0,0.5639222146095424,0.9998110333570859
combined_overall,1.0,0.5639386562094553,0.9998110333570859
combined_overall,1.0,0.5639550987681318,0.9998110333570859
combined_overall,1.0,0.5639797644040121,0.9998110333570859
combined_overall,1.0,0.5640064879444515,0.9998110333570859
combined_overall,1.0,0.5640229344589152,0.9998110333570859
combined_overall,1.0,0.5640414379342271,0.9998110333570859
combined_overall,1.0,0.5640784485272674,0.9998110333570859
combined_overall,1.0,0.5641339735246615,0.9998110333570859
combined_overall,1.0,0.5641524842863601,0.9998110333570859
combined_overall,1.0,0.5641751102004208,0.9998110333570859
combined_overall,1.0,0.5641936236618732,0.9998110333570859
combined_overall,1.0,0.5641977379294252,0.9998110333570859
combined_overall,1.0,0.5642265394825122,0.9998110333570859
combined_overall,1.0,0.5642553439763122,0.9998110333570859
combined_overall,1.0,0.5642676896596992,0.9998110333570859
combined_overall,1.0,0.5642964983552992,0.9998110333570859
combined_overall,1.0,0.5643211938643774,0.9998110333570859
combined_overall,1.0,0.5643376587379738,0.9998110333570859
combined_overall,1.0,0.564345891535067,0.9998110333570859
combined_overall,1.0,0.5643623578498953,0.9998110333570859
combined_overall,1.0,0.5643726497846282,0.9998110333570859
combined_overall,1.0,0.5643891176610047,0.9998110333570859
combined_overall,1.0,0.5644014691989802,0.9998110333570859
combined_overall,1.0,0.5644241150894395,0.9998110333570859
combined_overall,1.0,0.5644364681593019,0.9998110333570859
combined_overall,1.0,0.5644488217698986,0.9998110333570859
combined_overall,1.0,0.5644652940918974,0.9998110333570859
combined_overall,1.0,0.5644735306134361,0.9998110333570859
combined_overall,1.0,0.5644776489643448,0.9998110333570859
combined_overall,1.0,0.5644941229689404,0.9998110333570859
combined_overall,1.0,0.5645085385117707,0.9998110333570859
combined_overall,1.0,0.5645250143194347,0.9998110333570859
combined_overall,1.0,0.5645538492971262,0.9998110333570859
combined_overall,1.0,0.5645765074175965,0.9998110333570859
combined_overall,1.0,0.5645888671589947,0.9998110333570859
combined_overall,1.0,0.5645991673568872,0.9998110333570859
combined_overall,1.0,0.5646094679306143,0.9998110333570859
combined_overall,1.0,0.5646259496303648,0.9998110333570859
combined_overall,1.0,0.5646383115366651,0.9998110333570859
combined_overall,1.0,0.5646547949204496,0.9998110333570859
combined_overall,1.0,0.5646671580898721,0.9998110333570859
combined_overall,1.0,0.5646877645753656,0.9998110333570859
combined_overall,1.0,0.5646960075906868,0.9998110333570859
combined_overall,1.0,0.5647042508466659,0.9998110333570859
combined_overall,1.0,0.564755776649598,0.9998110333570859
combined_overall,1.0,0.564768144241473,0.9998110333570859
combined_overall,1.0,0.5647743282405413,0.9998110333570859
combined_overall,1.0,0.5647866966449616,0.9998110333570859
combined_overall,1.0,0.5648011271348218,0.9998110333570859
combined_overall,1.0,0.5648155583621086,0.9998110333570859
combined_overall,1.0,0.5648361756804111,0.9998110333570859
combined_overall,1.0,0.5648547325538524,0.9998110333570859
combined_overall,1.0,0.5648671044802273,0.9998110333570859
combined_overall,1.0,0.564883601225135,0.9998110333570859
combined_overall,1.0,0.5648980366673725,0.9998110333570859
combined_overall,1.0,0.56490422351133,0.9998110333570859
combined_overall,1.0,0.5649145352190834,0.9998110333570859
