class,fpr,tpr,auc
combined_overall,0.0,0.0,0.9999139185100394
combined_overall,3.1235593928662214e-05,0.9584975894738202,0.9999139185100394
combined_overall,6.46253667489563e-05,0.9617611704946426,0.9999139185100394
combined_overall,6.46253667489563e-05,0.9631441533430702,0.9999139185100394
combined_overall,6.570245619477224e-05,0.9640812211609301,0.9999139185100394
combined_overall,6.570245619477224e-05,0.9646563869249958,0.9999139185100394
combined_overall,6.570245619477224e-05,0.9651604647856377,0.9999139185100394
combined_overall,6.570245619477224e-05,0.9657808683064276,0.9999139185100394
combined_overall,6.677954564058818e-05,0.9662332458736703,0.9999139185100394
combined_overall,6.677954564058818e-05,0.9666468482208637,0.9999139185100394
combined_overall,6.677954564058818e-05,0.9669699750546085,0.9999139185100394
combined_overall,6.677954564058818e-05,0.9672543266683038,0.9999139185100394
combined_overall,6.785663508640412e-05,0.9674999030619499,0.9999139185100394
combined_overall,6.893372453222005e-05,0.9676679290154971,0.9999139185100394
combined_overall,6.893372453222005e-05,0.9678230298956947,0.9999139185100394
combined_overall,6.893372453222005e-05,0.9679975183859169,0.9999139185100394
combined_overall,6.893372453222005e-05,0.9681784694128139,0.9999139185100394
combined_overall,6.893372453222005e-05,0.9683658829763859,0.9999139185100394
combined_overall,6.893372453222005e-05,0.9685597590766327,0.9999139185100394
combined_overall,6.893372453222005e-05,0.9686502345900813,0.9999139185100394
combined_overall,6.893372453222005e-05,0.9687213224935052,0.9999139185100394
combined_overall,6.893372453222005e-05,0.9688376481536533,0.9999139185100394
combined_overall,6.893372453222005e-05,0.968979823960501,0.9999139185100394
combined_overall,7.001081397803599e-05,0.969102612157324,0.9999139185100394
combined_overall,7.001081397803599e-05,0.9692124752807972,0.9999139185100394
combined_overall,7.001081397803599e-05,0.9693029507942458,0.9999139185100394
combined_overall,7.001081397803599e-05,0.9693805012343445,0.9999139185100394
combined_overall,7.001081397803599e-05,0.9694451266010935,0.9999139185100394
combined_overall,7.001081397803599e-05,0.9695291395778671,0.9999139185100394
combined_overall,7.108790342385193e-05,0.9696131525546408,0.9999139185100394
combined_overall,7.108790342385193e-05,0.969658390311365,0.9999139185100394
combined_overall,7.216499286966787e-05,0.9697617908981634,0.9999139185100394
combined_overall,7.216499286966787e-05,0.9698522664116119,0.9999139185100394
combined_overall,7.216499286966787e-05,0.9699298168517106,0.9999139185100394
combined_overall,7.216499286966787e-05,0.9699815171451098,0.9999139185100394
combined_overall,7.216499286966787e-05,0.9700590675852085,0.9999139185100394
combined_overall,7.216499286966787e-05,0.9701753932453566,0.9999139185100394
combined_overall,7.216499286966787e-05,0.9702335560754307,0.9999139185100394
combined_overall,7.216499286966787e-05,0.9702852563688299,0.9999139185100394
combined_overall,8.293588732782725e-05,0.9703498817355789,0.9999139185100394
combined_overall,8.293588732782725e-05,0.9703692693456035,0.9999139185100394
combined_overall,8.293588732782725e-05,0.9703757318822784,0.9999139185100394
combined_overall,8.293588732782725e-05,0.9704338947123525,0.9999139185100394
combined_overall,8.401297677364319e-05,0.9704597448590521,0.9999139185100394
combined_overall,8.401297677364319e-05,0.9704920575424265,0.9999139185100394
combined_overall,8.401297677364319e-05,0.9705179076891262,0.9999139185100394
combined_overall,8.509006621945913e-05,0.9706019206658998,0.9999139185100394
combined_overall,8.509006621945913e-05,0.9706471584226241,0.9999139185100394
combined_overall,8.509006621945913e-05,0.9706859336426734,0.9999139185100394
combined_overall,8.616715566527507e-05,0.970711783789373,0.9999139185100394
combined_overall,8.616715566527507e-05,0.970776409156122,0.9999139185100394
combined_overall,8.616715566527507e-05,0.9708281094495211,0.9999139185100394
combined_overall,8.7244245111091e-05,0.9708733472062454,0.9999139185100394
combined_overall,8.7244245111091e-05,0.9709056598896199,0.9999139185100394
combined_overall,8.7244245111091e-05,0.970957360183019,0.9999139185100394
combined_overall,8.832133455690694e-05,0.9710025979397433,0.9999139185100394
combined_overall,8.832133455690694e-05,0.9710542982331425,0.9999139185100394
