class,recall,precision,auc
combined_overall,1.0,0.14285714285714285,0.9997921643691128
combined_overall,1.0,0.39671324189206514,0.9997921643691128
combined_overall,1.0,0.39868494618946154,0.9997921643691128
combined_overall,1.0,0.39987802451397164,0.9997921643691128
combined_overall,1.0,0.40060269816161526,0.9997921643691128
combined_overall,1.0,0.4011021768770964,0.9997921643691128
combined_overall,1.0,0.40152787040088433,0.9997921643691128
combined_overall,1.0,0.4018636492308811,0.9997921643691128
combined_overall,1.0,0.4021623588424103,0.9997921643691128
combined_overall,1.0,0.40242592578144304,0.9997921643691128
combined_overall,1.0,0.40269088637901423,0.9997921643691128
combined_overall,1.0,0.4028848532187724,0.9997921643691128
combined_overall,1.0,0.40307480710821214,0.9997921643691128
combined_overall,1.0,0.4032512782558388,0.9997921643691128
combined_overall,1.0,0.40341423100286516,0.9997921643691128
combined_overall,1.0,0.40357731550065723,0.9997921643691128
combined_overall,1.0,0.4037215709704941,0.9997921643691128
combined_overall,1.0,0.4038437949384466,0.9997921643691128
combined_overall,1.0,0.403987186281907,0.9997921643691128
combined_overall,1.0,0.40409268607332466,0.9997921643691128
combined_overall,1.0,0.4042056318896609,0.9997921643691128
combined_overall,1.0,0.4043218102479684,0.9997921643691128
combined_overall,1.0,0.40444334086958794,0.9997921643691128
combined_overall,1.0,0.40457234889783067,0.9997921643691128
combined_overall,1.0,0.40466862979951984,0.9997921643691128
combined_overall,1.0,0.40478189784840757,0.9997921643691128
combined_overall,1.0,0.4049037052543437,0.9997921643691128
combined_overall,1.0,0.40500438407077327,0.9997921643691128
combined_overall,1.0,0.4050828422659173,0.9997921643691128
combined_overall,1.0,0.4051814882507895,0.9997921643691128
combined_overall,1.0,0.40527169059199136,0.9997921643691128
combined_overall,1.0,0.40534494320801373,0.9997921643691128
combined_overall,1.0,0.40542672015133613,0.9997921643691128
combined_overall,1.0,0.40550215411063006,0.9997921643691128
combined_overall,1.0,0.40558718376162467,0.9997921643691128
combined_overall,1.0,0.40565097940522626,0.9997921643691128
combined_overall,1.0,0.40571798643394086,0.9997921643691128
combined_overall,1.0,0.4057914004888232,0.9997921643691128
combined_overall,1.0,0.40584887350171794,0.9997921643691128
combined_overall,1.0,0.40590316851993213,0.9997921643691128
combined_overall,1.0,0.4059713240020464,0.9997921643691128
combined_overall,1.0,0.4060267171866923,0.9997921643691128
combined_overall,1.0,0.4060757314522499,0.9997921643691128
combined_overall,1.0,0.40612262573717955,0.9997921643691128
combined_overall,1.0,0.4061684647085072,0.9997921643691128
combined_overall,1.0,0.4062239117080316,0.9997921643691128
combined_overall,1.0,0.4062697735477519,0.9997921643691128
combined_overall,1.0,0.406340186287614,0.9997921643691128
combined_overall,1.0,0.4063839398268762,0.9997921643691128
combined_overall,1.0,0.40642770278966295,0.9997921643691128
combined_overall,1.0,0.40647040744758817,0.9997921643691128
combined_overall,1.0,0.40651098518582734,0.9997921643691128
combined_overall,1.0,0.406568662226251,0.9997921643691128
combined_overall,1.0,0.4066103280463322,0.9997921643691128
combined_overall,1.0,0.40665307109293697,0.9997921643691128
combined_overall,1.0,0.40669582312682007,0.9997921643691128
combined_overall,1.0,0.4067428607477815,0.9997921643691128
combined_overall,1.0,0.4067867010523383,0.9997921643691128
combined_overall,1.0,0.406831620432813,0.9997921643691128
combined_overall,1.0,0.4068818991222765,0.9997921643691128
combined_overall,1.0,0.40691720860759095,0.9997921643691128
combined_overall,1.0,0.40696536778320147,0.9997921643691128
combined_overall,1.0,0.4070092560687879,0.9997921643691128
combined_overall,1.0,0.407042446179423,0.9997921643691128
combined_overall,1.0,0.40707349989345554,0.9997921643691128
combined_overall,1.0,0.40710670048304093,0.9997921643691128
combined_overall,1.0,0.4071570471917799,0.9997921643691128
combined_overall,1.0,0.40719347597832695,0.9997921643691128
combined_overall,1.0,0.407229911284104,0.9997921643691128
combined_overall,1.0,0.40728564848325327,0.9997921643691128
combined_overall,1.0,0.40732746139631365,0.9997921643691128
combined_overall,1.0,0.40736821044207155,0.9997921643691128
combined_overall,1.0,0.40741433103829594,0.9997921643691128
combined_overall,1.0,0.407448660120651,0.9997921643691128
combined_overall,1.0,0.40748728725407324,0.9997921643691128
combined_overall,1.0,0.4075087499374534,0.9997921643691128
combined_overall,1.0,0.4075409482020717,0.9997921643691128
