class,fpr,tpr,auc
combined_overall,0.0,0.0,0.9999835464595026
combined_overall,0.0,0.8953521436234151,0.9999835464595026
combined_overall,0.0,0.9119479378045471,0.9999835464595026
combined_overall,0.0,0.9181648980857966,0.9999835464595026
combined_overall,0.0,0.9216611304269152,0.9999835464595026
combined_overall,0.0,0.9244141710504207,0.9999835464595026
combined_overall,0.0,0.9266825214233091,0.9999835464595026
combined_overall,0.0,0.9283240057387325,0.9999835464595026
combined_overall,0.0,0.9298750145407075,0.9999835464595026
combined_overall,0.0,0.9315552740761803,0.9999835464595026
combined_overall,0.0,0.9334487973219248,0.9999835464595026
combined_overall,0.0,0.9351096692473729,0.9999835464595026
combined_overall,0.0,0.9365249647791751,0.9999835464595026
combined_overall,0.0,0.938017810751076,0.9999835464595026
combined_overall,0.0,0.9397303829699234,0.9999835464595026
combined_overall,0.0,0.9413912548953716,0.9999835464595026
combined_overall,0.0,0.9424963486667787,0.9999835464595026
combined_overall,0.0,0.9435562046814616,0.9999835464595026
combined_overall,0.0,0.9443834093758482,0.9999835464595026
combined_overall,0.0,0.9451589137768357,0.9999835464595026
combined_overall,0.0,0.9457663922242758,0.9999835464595026
combined_overall,0.0,0.9464772712585144,0.9999835464595026
combined_overall,0.0,0.9472463131228269,0.9999835464595026
combined_overall,0.0,0.948603445824555,0.9999835464595026
combined_overall,0.0,0.9494177254455919,0.9999835464595026
combined_overall,0.0,0.9501609171632049,0.9999835464595026
combined_overall,0.0,0.9507231578539208,0.9999835464595026
combined_overall,0.0,0.9513112486913363,0.9999835464595026
combined_overall,0.0,0.9519122646021017,0.9999835464595026
combined_overall,0.0,0.9525779058796159,0.9999835464595026
combined_overall,0.0,0.9532370846204552,0.9999835464595026
combined_overall,0.0,0.9537088497977226,0.9999835464595026
combined_overall,0.0,0.9541870775116649,0.9999835464595026
combined_overall,0.0,0.9547040804456566,0.9999835464595026
combined_overall,0.0,0.9552663211363724,0.9999835464595026
combined_overall,0.0,0.9556863860202407,0.9999835464595026
combined_overall,0.0,0.9560870632940842,0.9999835464595026
combined_overall,0.0,0.9564748154945779,0.9999835464595026
combined_overall,0.0,0.9568237924750223,0.9999835464595026
combined_overall,0.0,0.9571598443821169,0.9999835464595026
combined_overall,0.0,0.9574441959958123,0.9999835464595026
combined_overall,0.0,0.9578125605862813,0.9999835464595026
combined_overall,0.0,0.9584200390337215,0.9999835464595026
combined_overall,0.0,0.9587431658674663,0.9999835464595026
combined_overall,0.0,0.9590792177745608,0.9999835464595026
combined_overall,0.0,0.9595574454885032,0.9999835464595026
combined_overall,0.0,0.9597642466620998,0.9999835464595026
combined_overall,0.0,0.9599839729090462,0.9999835464595026
combined_overall,0.0,0.9601972366193178,0.9999835464595026
combined_overall,0.0,0.9603975752562396,0.9999835464595026
combined_overall,0.0,0.9605914513564865,0.9999835464595026
combined_overall,0.0,0.9607917899934082,0.9999835464595026
combined_overall,0.0,0.9609404283369308,0.9999835464595026
combined_overall,0.0,0.9610955292171283,0.9999835464595026
combined_overall,0.0,0.9612635551706756,0.9999835464595026
combined_overall,0.0,0.9613928059041735,0.9999835464595026
combined_overall,0.0,0.9616060696144451,0.9999835464595026
combined_overall,0.0,0.9617094702012434,0.9999835464595026
combined_overall,0.0,0.9619098088381651,0.9999835464595026
combined_overall,0.0,0.9620842973283873,0.9999835464595026
combined_overall,0.0,0.9622135480618853,0.9999835464595026
combined_overall,0.0,0.9624074241621321,0.9999835464595026
combined_overall,0.0,0.96253667489563,0.9999835464595026
combined_overall,0.0,0.9626465380191033,0.9999835464595026
combined_overall,0.0,0.962788713825951,0.9999835464595026
combined_overall,0.0,0.9628598017293748,0.9999835464595026
combined_overall,0.0,0.9630019775362225,0.9999835464595026
combined_overall,0.0,0.963098915586346,0.9999835464595026
combined_overall,0.0,0.9631893910997945,0.9999835464595026
combined_overall,0.0,0.9633121792966175,0.9999835464595026
combined_overall,0.0,0.9634543551034652,0.9999835464595026
combined_overall,0.0,0.9636482312037121,0.9999835464595026
combined_overall,0.0,0.9637839444738849,0.9999835464595026
combined_overall,0.0,0.9638808825240083,0.9999835464595026
combined_overall,0.0,0.9639713580374568,0.9999835464595026
combined_overall,0.0,0.964087683697605,0.9999835464595026
combined_overall,0.0,0.9641716966743786,0.9999835464595026
combined_overall,0.0,0.9645335987281728,0.9999835464595026
combined_overall,0.0,0.964643461851646,0.9999835464595026
combined_overall,0.0,0.9647791751218188,0.9999835464595026
combined_overall,0.0,0.9648567255619176,0.9999835464595026
combined_overall,0.0,0.9649019633186419,0.9999835464595026
combined_overall,0.0,0.9649795137587406,0.9999835464595026
combined_overall,0.0,0.9650441391254896,0.9999835464595026
combined_overall,0.0,0.9651410771756129,0.9999835464595026
combined_overall,0.0,0.9652250901523867,0.9999835464595026
combined_overall,0.0,0.965263865372436,0.9999835464595026
combined_overall,0.0,0.9653608034225595,0.9999835464595026
combined_overall,0.0,0.9655159043027569,0.9999835464595026
combined_overall,0.0,0.9656839302563042,0.9999835464595026
combined_overall,0.0,0.9657550181597281,0.9999835464595026
combined_overall,0.0,0.9658131809898021,0.9999835464595026
combined_overall,0.0,0.9659359691866252,0.9999835464595026
combined_overall,0.0,0.9659876694800243,0.9999835464595026
combined_overall,0.0,0.9660846075301477,0.9999835464595026
combined_overall,0.0,0.9661104576768473,0.9999835464595026
combined_overall,0.0,0.9661750830435962,0.9999835464595026
combined_overall,0.0,0.9663301839237938,0.9999835464595026
combined_overall,0.0,0.9664335845105921,0.9999835464595026
combined_overall,0.0,0.9664852848039913,0.9999835464595026
combined_overall,0.0,0.9665240600240407,0.9999835464595026
combined_overall,0.0,0.9665886853907896,0.9999835464595026
combined_overall,0.0,0.9666403856841888,0.9999835464595026
combined_overall,0.0,0.9667050110509378,0.9999835464595026
combined_overall,0.0,0.9668213367110858,0.9999835464595026
combined_overall,0.0,0.966873037004485,0.9999835464595026
combined_overall,0.0,0.9669118122245344,0.9999835464595026
combined_overall,0.0,0.9669893626646331,0.9999835464595026
combined_overall,0.0,0.9670152128113327,0.9999835464595026
combined_overall,0.0,0.9670669131047319,0.9999835464595026
combined_overall,0.0,0.9671121508614562,0.9999835464595026
combined_overall,0.0,0.9671638511548553,0.9999835464595026
combined_overall,0.0,0.9672026263749047,0.9999835464595026
combined_overall,0.0,0.9672607892049787,0.9999835464595026
combined_overall,0.0,0.9672801768150034,0.9999835464595026
combined_overall,0.0,0.9673189520350528,0.9999835464595026
combined_overall,0.0,0.9673383396450775,0.9999835464595026
combined_overall,0.0,0.9673900399384766,0.9999835464595026
combined_overall,0.0,0.9674482027685507,0.9999835464595026
combined_overall,0.0,0.9674869779886001,0.9999835464595026
combined_overall,0.0,0.9675128281352997,0.9999835464595026
combined_overall,0.0,0.9676420788687976,0.9999835464595026
combined_overall,0.0,0.967680854088847,0.9999835464595026
combined_overall,0.0,0.9677390169189211,0.9999835464595026
combined_overall,0.0,0.9677648670656206,0.9999835464595026
combined_overall,0.0,0.96780364228567,0.9999835464595026
combined_overall,0.0,0.9678359549690444,0.9999835464595026
combined_overall,0.0,0.9678553425790691,0.9999835464595026
combined_overall,0.0,0.9678941177991185,0.9999835464595026
combined_overall,0.0,0.9679652057025424,0.9999835464595026
combined_overall,0.0,0.9679975183859169,0.9999835464595026
combined_overall,0.0,0.9680362936059662,0.9999835464595026
combined_overall,0.0,0.9681009189727152,0.9999835464595026
combined_overall,0.0,0.9681138440460649,0.9999835464595026
combined_overall,0.0,0.9681461567294395,0.9999835464595026
combined_overall,0.0,0.9681849319494888,0.9999835464595026
combined_overall,0.0,0.9682043195595135,0.9999835464595026
combined_overall,0.0,0.968236632242888,0.9999835464595026
combined_overall,0.0,0.9682818699996123,0.9999835464595026
combined_overall,0.0,0.9683141826829867,0.9999835464595026
combined_overall,0.0,0.9683529579030361,0.9999835464595026
combined_overall,0.0,0.9683723455130608,0.9999835464595026
combined_overall,0.0,0.9683981956597604,0.9999835464595026
combined_overall,0.0,0.9684369708798097,0.9999835464595026
combined_overall,0.0,0.9684886711732089,0.9999835464595026
combined_overall,0.0,0.9685209838565834,0.9999835464595026
combined_overall,0.0,0.9685726841499825,0.9999835464595026
