ID,IUPAC_Name,SMILES,Formula,CAS,CID,Identification_Confidence,Plasma_Detection_Number,Plasma_Detection_Rate,Seafood_Detection_Number,Seafood_Detection_Rate,PBT_QSAR_Label,PBT_GAT_Prob,PBT_GAT_Label,PBT_CNN2D_Prob,PBT_CNN2D_Label,Ensemble_PBT_Label,Has_Literature_Record,Max_Tanimoto_Similarity(Norman_Pollutant_Type),Pollutant_Type,First_PBT_Report,First_Environmental_and_Human_Detection
41,"[3a-[2-[[4-chloro-2-[(dimethylamino)methyl]phenyl]methylamino]ethyl]-5a,5b,8,8,11a-pentamethyl-2-oxo-1-propan-2-yl-4,5,6,7,7a,9,10,11,11b,12,13,13a-dodecahydro-3H-cyclopenta[a]chrysen-9-yl] 4-amino-3,3-dimethyl-4-oxobutanoate",CC(C)C1=C2C3CCC4C5(C)CCC(OC(=O)CC(C)(C)C(N)=O)C(C)(C)C5CCC4(C)C3(C)CCC2(CCNCc2ccc(Cl)cc2CN(C)C)CC1=O,C47H72ClN3O4,,123924087.0,level 2b,7,0.0361,141,1.0,1,0.8314964,1,0.7954447,1,1,0,0.3518518518518518,Pharmaceuticals,1,1
48,"1-[5-[[1-adamantylmethyl(2,3-dihydroxypropyl)amino]methyl]-5,13-dihydroxy-6,10-dimethyl-17-tricyclo[13.2.2.02,6]nonadeca-1(17),9,15,18-tetraenyl]-2-(2-chloro-6-fluorophenyl)ethanone",CC1=CCCC2(C)C(CCC2(O)CN(CC(O)CO)CC23CC4CC(CC(C4)C2)C3)c2ccc(cc2C(=O)Cc2c(F)cccc2Cl)CC(O)CC1,C44H59ClFNO5,,5068472.0,level 2b,1,0.0052,141,1.0,1,0.8331752,1,0.048156656,0,1,0,0.2790697674418604,Transformation and metabolic products,1,1
49,"1-[5-[(3,5-dichloro-4-pyridinyl)sulfanyl]-4-nitrothiophen-2-yl]-2-(3-methyl-1,1-dioxo-2,3-dihydro-1-benzothiophen-6-yl)ethanone",CC1CS(=O)(=O)c2cc(CC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)ccc21,C20H14Cl2N2O5S3,,161820446.0,level 2b,4,0.0206,18,0.1277,0,0.63261336,1,0.34759352,0,1,0,0.3086419753086419,Transformation and metabolic products,1,1
57,"[(3S,8S,9S,10R,14R,17R)-17-[5-[bis(2-chloroethyl)carbamoyloxy]pentan-2-yl]-10-methyl-1,2,3,4,7,8,9,11,12,13,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-yl] (Z)-nonadec-10-enoate",CCCCCCCC/C=C\CCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H](C(C)CCCOC(=O)N(CCCl)CCCl)C4CC[C@@H]32)C1,C47H79Cl2NO4,,56664834.0,level 2b,75,0.3866,138,0.9787,1,0.5743634,1,0.69472474,1,1,1,0.6136363636363636,Personal care products,1,0
60,2-chloro-N-[4-[(2-chloroacetyl)-hexadecylamino]phenyl]-N-hexadecylacetamide,CCCCCCCCCCCCCCCCN(C(=O)CCl)c1ccc(N(CCCCCCCCCCCCCCCC)C(=O)CCl)cc1,C42H74Cl2N2O2,,118349716.0,level 2b,134,0.6907,72,0.5106,1,0.00140859,0,0.001003883,0,1,0,0.5277777777777778,Transformation and metabolic products,1,1
66,"(4R)-N-[3-(1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalen-2-yl)-1-[(2-chlorocyclohexyl)methyl-methylamino]-1-oxopropan-2-yl]-1-[3-[[ethyl(methyl)amino]methyl]adamantane-1-carbonyl]-4-hydroxypyrrolidine-2-carboxamide",CCN(C)CC12CC3CC(C1)CC(C(=O)N1C[C@H](O)CC1C(=O)NC(CC1CCC4CCCCC4C1)C(=O)N(C)CC1CCCCC1Cl)(C3)C2,C41H67ClN4O4,,145812436.0,level 2b,2,0.0103,141,1.0,1,0.6815649,1,0.5685289,1,1,0,0.2523364485981308,Pharmaceuticals,1,1
80,"pentakis(2,2,2-trichloroethoxy)-lambda5-phosphane",ClC(Cl)(Cl)COP(OCC(Cl)(Cl)Cl)(OCC(Cl)(Cl)Cl)(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl,C10H10Cl15O5P,,12486606.0,level 2b,4,0.0206,63,0.4468,0,0.9956291,1,0.95381963,1,1,0,0.4444444444444444,Industry and consumer goods,1,1
89,"[4,4,4-trichloro-2-hydroxy-2-(3,4,5-tribromophenyl)butyl] 2,2-dibromoethanesulfonate",O=S(=O)(CC(Br)Br)OCC(O)(CC(Cl)(Cl)Cl)c1cc(Br)c(Br)c(Br)c1,C12H10Br5Cl3O4S,,21540643.0,level 2b,162,0.8351,137,0.9716,0,0.9856428,1,0.99779004,1,1,0,0.2777777777777778,Industry and consumer goods,1,1
99,"4-[[3a-[2-[(2-chlorophenyl)methyl-methylamino]-1-hydroxyethyl]-5b,8,11a-trimethyl-2-oxo-1-propan-2-yl-4,5,5a,6,7,7a,8,9,10,11,11b,12,13,13a-tetradecahydro-3H-cyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxobutanoic acid",CC(C)C1=C2C3CCC4C(C)(CCC5C(C)C(OC(=O)CC(C)(C)C(=O)O)CCC54C)C3CCC2(C(O)CN(C)Cc2ccccc2Cl)CC1=O,C43H62ClNO6,,145595684.0,level 2b,3,0.0155,34,0.2411,0,0.57671523,1,0.709631,1,1,0,0.2666666666666666,Transformation and metabolic products,1,1
103,"methyl (1S,3R,4S)-3-[(12R,17R,18S,19R)-19-carbamoyloxy-18-chloro-13,14,17-trihydroxy-6,12-dimethyl-15-oxotricosanoyl]oxy-4-hydroxycyclohexane-1-carboxylate",CCCC[C@@H](OC(N)=O)[C@@H](Cl)[C@H](O)CC(=O)C(O)C(O)[C@H](C)CCCCCC(C)CCCCC(=O)O[C@@H]1C[C@@H](C(=O)OC)CC[C@@H]1O,C34H60ClNO11,,11093703.0,level 2b,44,0.2268,23,0.1631,0,4.0570844e-06,0,0.010835674,0,0,0,0.3375,Industry and consumer goods,1,1
