ID,IUPAC_Name,SMILES,Formula,CAS,CID,Identification_Confidence,Plasma_Detection_Number,Plasma_Detection_Rate,Seafood_Detection_Number,Seafood_Detection_Rate,PBT_QSAR_Label,PBT_GAT_Prob,PBT_GAT_Label,PBT_CNN2D_Prob,PBT_CNN2D_Label,Ensemble_PBT_Label,Has_Literature_Record,Max_Tanimoto_Similarity(Norman_Pollutant_Type),Pollutant_Type,First_PBT_Report,First_Environmental_and_Human_Detection
345,"(13E)-12-[(4-tert-butylpiperazin-1-yl)methyl]-4-(4-chloro-2-propylphenyl)-6,16,17-trimethyl-18-oxo-2-oxa-18lambda4-thia-6,19-diazatricyclo[19.2.2.08,11]pentacosa-1(24),13,21(25),22-tetraen-20-one",CCCc1cc(Cl)ccc1C1COc2ccc(cc2)C(=O)NS(=O)C(C)C(C)C/C=C/C(CN2CCN(C(C)(C)C)CC2)C2CCC2CN(C)C1,C42H63ClN4O3S,,142443756.0,level 3,6,0.0309,32,0.227,1,0.9629199,1,0.8385698,1,1,0,0.2336448598130841,Pharmaceuticals,1,1
348,"4-[[3a-[2-[(3-chlorophenyl)methyl-ethylamino]ethyl]-5b,11a-dimethyl-2-oxo-1-propan-2-yl-4,5,5a,6,7,7a,8,9,10,11,11b,12,13,13a-tetradecahydro-3H-cyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxobutanoic acid",CCN(CCC12CCC3C(CCC4C5(C)CCC(OC(=O)CC(C)(C)C(=O)O)CC5CCC34C)C1=C(C(C)C)C(=O)C2)Cc1cccc(Cl)c1,C43H62ClNO5,,145595774.0,level 3,86,0.4433,112,0.7943,0,0.6244493,1,0.7088214,1,1,0,0.2719298245614035,Industry and consumer goods,1,1
357,"ethyl 2-[(15S,18S)-12-chloro-13,20-difluoro-15-[5-[2-(3-fluoroazetidin-1-yl)ethyl]-2-oxo-4-(trifluoromethyl)-1-pyridinyl]-3,21-dimethyl-16-oxo-8-oxa-17-azatetracyclo[17.3.1.110,14.02,7]tetracosa-1(23),2,4,6,10(24),11,13,19,21-nonaen-18-yl]acetate",CCOC(=O)C[C@@H]1NC(=O)[C@@H](n2cc(CCN3CC(F)C3)c(C(F)(F)F)cc2=O)c2cc(cc(Cl)c2F)COc2cccc(C)c2-c2cc(C)c(F)c1c2,C39H36ClF6N3O5,,171826326.0,level 3,1,0.0052,97,0.6879,1,0.94046557,1,0.008623195,0,1,0,0.2604166666666667,Industry and consumer goods,1,1
363,"(5E)-3-(3-bromophenyl)-5-[[3-ethoxy-4-[2-nitro-4-(trifluoromethyl)phenoxy]phenyl]methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one",CCOc1cc(/C=C2/SC(=S)N(c3cccc(Br)c3)C2=O)ccc1Oc1ccc(C(F)(F)F)cc1[N+](=O)[O-],C25H16BrF3N2O5S2,,126203770.0,level 3,1,0.0052,50,0.3546,1,0.967108,1,0.83055717,1,1,0,0.4615384615384615,Industry and consumer goods,1,1
368,"(2S)-2-[[(2S)-1-[(2S)-2-[[(2S,3S)-2-[[(2R,3R)-3-amino-10-chloro-2-hydroxydecanoyl]amino]-3-methylpentanoyl]-methylamino]-4-methylpentanoyl]pyrrolidine-2-carbonyl]amino]-3-(4-hydroxyphenyl)propanoic acid",CC[C@H](C)[C@H](NC(=O)[C@H](O)[C@H](N)CCCCCCCCl)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,C37H60ClN5O8,,10485138.0,level 3,34,0.1753,37,0.2624,0,9.542844e-06,0,0.000720298,0,0,0,0.5,Industry and consumer goods,1,1
375,"1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-5-[methyl(2-methylsulfonylethyl)amino]-4-(trifluoromethylsulfonyl)pyrazole-3-carbonitrile",CN(CCS(C)(=O)=O)c1c(S(=O)(=O)C(F)(F)F)c(C#N)nn1-c1c(Cl)cc(C(F)(F)F)cc1Cl,C16H12Cl2F6N4O4S2,,91491773.0,level 3,13,0.067,57,0.4043,0,0.000991275,0,0.080562286,0,0,0,0.6440677966101694,Pesticides,1,1
405,"[(1S,2R,3S,5S,7R,16E,18E,20R,21S)-11-chloro-21-hydroxy-12,20-dimethoxy-2,5,9,16-tetramethyl-8,23-dioxo-4,24-dioxa-22-azatetracyclo[19.3.1.110,14.03,5]hexacosa-10,12,14(26),16,18-pentaen-7-yl] (2S)-2-[methyl-(2-sulfanylacetyl)amino]propanoate",COc1cc2cc(c1Cl)C(C)C(=O)[C@H](OC(=O)[C@H](C)N(C)C(=O)CS)C[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C/C=C(\C)C2,C35H47ClN2O10S,,172516721.0,level 3,1,0.0052,39,0.2766,0,0.043408554,0,0.000437895,0,0,0,0.6509433962264151,Industry and consumer goods,1,1
409,[3-(4-bromophenyl)-3-(3-cyclopentyloxy-4-methoxyphenyl)oxiran-2-yl]-trimethylsilane,COc1ccc(C2(c3ccc(Br)cc3)OC2[Si](C)(C)C)cc1OC1CCCC1,C23H29BrO3Si,,23563767.0,level 3,1,0.0052,75,0.5319,1,0.9453738,1,0.9736797,1,1,0,0.45,Industry and consumer goods,1,1
423,"(3S,4R,5R)-2-[[3-[[(2-chloro-6-fluorophenyl)methyl-[(2S)-1-(dimethylamino)-4,4-dimethylpentan-2-yl]amino]methyl]phenyl]methyl]-4-[(1S)-1-hydroxyethyl]-5-(hydroxymethyl)-N-[(1S,2S,3S,5R)-2,3,4,4,5-pentamethylcyclohexyl]-1,2-oxazolidine-3-carboxamide",C[C@@H]1[C@@H](NC(=O)[C@@H]2[C@H]([C@H](C)O)[C@H](CO)ON2Cc2cccc(CN(Cc3c(F)cccc3Cl)[C@H](CN(C)C)CC(C)(C)C)c2)C[C@@H](C)C(C)(C)[C@H]1C,C42H66ClFN4O4,,89615249.0,level 3,105,0.5412,91,0.6454,1,0.9132104,1,0.16436806,0,1,0,0.2377049180327868,Transformation and metabolic products,1,1
424,2-[[6-chloro-2-methylsulfonyl-5-(2-phenylethynyl)benzimidazol-1-yl]methoxy]ethyl-trimethylsilane,C[Si](C)(C)CCOCn1c(S(C)(=O)=O)nc2cc(C#Cc3ccccc3)c(Cl)cc21,C22H25ClN2O3SSi,,58387189.0,level 3,1,0.0052,46,0.3262,0,0.94002426,1,0.9776192,1,1,0,0.2898550724637681,Transformation and metabolic products,1,1
428,1-[[5-chloro-2-(2-chloro-4-fluorophenyl)-1-benzofuran-7-yl]methyl]-5-methyl-N-morpholin-4-ylpyrazole-3-carboxamide,Cc1cc(C(=O)NN2CCOCC2)nn1Cc1cc(Cl)cc2cc(-c3ccc(F)cc3Cl)oc12,C24H21Cl2FN4O3,,25007721.0,level 3,21,0.1082,65,0.461,0,0.41563356,0,0.8808272,1,1,0,0.348314606741573,Industry and consumer goods,1,1
447,"2-amino-1-(4-bromo-2-fluorophenyl)-4-(5-nitrothiophen-2-yl)-5-oxo-4,6,7,8-tetrahydroquinoline-3-carbonitrile",N#CC1=C(N)N(c2ccc(Br)cc2F)C2=C(C(=O)CCC2)C1c1ccc([N+](=O)[O-])s1,C20H14BrFN4O3S,,5302162.0,level 3,3,0.0155,57,0.4043,0,0.015937278,0,0.022451958,0,0,0,0.2857142857142857,Transformation and metabolic products,1,1
449,"2-[6-chloro-3-(2,4-difluorophenyl)-4-oxoquinazolin-2-yl]sulfanyl-N-(3-cyanothiophen-2-yl)acetamide",N#Cc1ccsc1NC(=O)CSc1nc2ccc(Cl)cc2c(=O)n1-c1ccc(F)cc1F,C21H11ClF2N4O2S2,,41148359.0,level 3,3,0.0155,33,0.234,0,0.03796085,0,2.7583603e-05,0,0,0,0.3875,Pesticides,1,1
462,"(2,4,6-triiodophenyl) 3,4-dibromo-2,2,3,4,4-pentafluorobutanoate",O=C(Oc1c(I)cc(I)cc1I)C(F)(F)C(F)(Br)C(F)(F)Br,C10H2Br2F5I3O2,,14533541.0,level 3,124,0.6392,42,0.2979,1,0.9932763,1,0.99304986,1,1,0,0.4705882352941176,Industry and consumer goods,1,1
467,"2,6-dibromo-4-[3,5-dibromo-4-(1,4-dibromobutoxy)phenyl]sulfonylphenol",O=S(=O)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(OC(Br)CCCBr)c(Br)c1,C16H12Br6O4S,,4151132.0,level 3,193,0.9948,69,0.4894,1,0.99049383,1,0.9992222,1,1,0,0.5277777777777778,Industry and consumer goods,1,1
468,"2,6-dibromo-4-[3,5-dibromo-4-(2,3-dibromopropoxy)phenyl]sulfonylphenol",O=S(=O)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(OCC(Br)CBr)c(Br)c1,C15H10Br6O4S,,4098537.0,level 3,1,0.0052,70,0.4965,1,0.98916686,1,0.99917275,1,1,0,0.8571428571428571,Industry and consumer goods,1,1
476,"N-[4-(3-chloropentan-3-yl)-6-morpholin-4-yl-1,3,5-triazin-2-yl]-N,N'-bis(1,2,2,6,6-pentamethylpiperidin-4-yl)-N'-pentan-3-ylhexane-1,6-diamine",CCC(CC)N(CCCCCCN(c1nc(N2CCOCC2)nc(C(Cl)(CC)CC)n1)C1CC(C)(C)N(C)C(C)(C)C1)C1CC(C)(C)N(C)C(C)(C)C1,C43H81ClN8O,,67990433.0,level 3,41,0.2113,33,0.234,1,0.03294978,0,0.20280184,0,1,0,0.4927536231884058,Industry and consumer goods,1,1
533,"[2-amino-6-[(2,4-dichlorophenyl)carbamothioylamino]-4-fluorophenyl] N-tert-butyl-N-(3-hydroxypropyl)carbamate",CC(C)(C)N(CCCO)C(=O)Oc1c(N)cc(F)cc1NC(=S)Nc1ccc(Cl)cc1Cl,C21H25Cl2FN4O3S,,90733854.0,level 3,23,0.1186,68,0.4823,0,0.9636614,1,0.84925663,1,1,0,0.3582089552238806,Industry and consumer goods,1,1
