class,fpr,tpr,auc
combined_overall,0.0,0.0,0.9999233901210024
combined_overall,2.1636591804059023e-06,0.8684668311047644,0.9999233901210024
combined_overall,3.245488770608854e-06,0.8717642476957029,0.9999233901210024
combined_overall,3.245488770608854e-06,0.873374010125925,0.9999233901210024
combined_overall,3.245488770608854e-06,0.8758340906140465,0.9999233901210024
combined_overall,3.245488770608854e-06,0.8782422432818382,0.9999233901210024
combined_overall,3.245488770608854e-06,0.8807672335453719,0.9999233901210024
combined_overall,4.327318360811805e-06,0.8841749967545113,0.9999233901210024
combined_overall,4.327318360811805e-06,0.8873815396598728,0.9999233901210024
combined_overall,5.409147951014756e-06,0.8906205374529405,0.9999233901210024
combined_overall,5.409147951014756e-06,0.8937037517850188,0.9999233901210024
combined_overall,5.409147951014756e-06,0.8959820849019863,0.9999233901210024
combined_overall,5.409147951014756e-06,0.8987796962222511,0.9999233901210024
combined_overall,5.409147951014756e-06,0.9015967804751396,0.9999233901210024
combined_overall,5.409147951014756e-06,0.903933532389978,0.9999233901210024
combined_overall,5.409147951014756e-06,0.9058938076074257,0.9999233901210024
combined_overall,5.409147951014756e-06,0.9073153316889524,0.9999233901210024
combined_overall,5.409147951014756e-06,0.9084577437362067,0.9999233901210024
combined_overall,5.409147951014756e-06,0.9094638452550954,0.9999233901210024
combined_overall,6.490977541217708e-06,0.9105932753472673,0.9999233901210024
combined_overall,6.490977541217708e-06,0.9115020122030377,0.9999233901210024
combined_overall,6.490977541217708e-06,0.9122419836427366,0.9999233901210024
combined_overall,6.490977541217708e-06,0.9129040633519409,0.9999233901210024
combined_overall,6.490977541217708e-06,0.9134557964429443,0.9999233901210024
combined_overall,6.490977541217708e-06,0.9138842009606647,0.9999233901210024
combined_overall,6.490977541217708e-06,0.9145917175126574,0.9999233901210024
combined_overall,6.490977541217708e-06,0.9152537972218616,0.9999233901210024
combined_overall,6.490977541217708e-06,0.9157016746722056,0.9999233901210024
combined_overall,7.572807131420659e-06,0.9161949889653381,0.9999233901210024
combined_overall,7.572807131420659e-06,0.9166104115279761,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9170193431130729,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9173893288329222,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9177268596650655,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9180578995196677,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9184927950149292,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9187978709593665,0.9999233901210024
combined_overall,8.65463672162361e-06,0.919141892769051,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9194599506685707,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9197585356354667,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9203816694794236,0.9999233901210024
combined_overall,8.65463672162361e-06,0.920751655199273,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9210567311437102,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9213358431779826,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9218031935609503,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9221666883032584,0.9999233901210024
combined_overall,8.65463672162361e-06,0.922510710112943,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9229066597429573,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9232247176424769,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9235687394521614,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9239971439698819,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9243995845774373,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9248993898481112,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9254186680514085,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9263923146825912,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9269180838634299,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9274373620667272,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9279371673374011,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9284953914059457,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9289951966766195,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9295534207451642,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9301635726340387,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9306958327924185,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9310917824224328,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9315850967155653,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9320978839413215,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9326366350772426,0.9999233901210024
combined_overall,8.65463672162361e-06,0.9330974944826691,0.9999233901210024
