sample_idx,Canonical_smiles,neutral_loss,importance,abs_importance
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.17613719403743744,0.0006241202354431152,0.0006241202354431152
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.18016840517520905,0.0005691051483154297,0.0005691051483154297
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.19794820249080658,0.000326693058013916,0.000326693058013916
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.20006179809570312,0.00029784440994262695,0.00029784440994262695
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.201979398727417,0.00027173757553100586,0.00027173757553100586
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.2221360057592392,-3.039836883544922e-06,3.039836883544922e-06
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.2280932068824768,-8.428096771240234e-05,8.428096771240234e-05
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.2300834059715271,-0.00011134147644042969,0.00011134147644042969
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.2341146022081375,-0.00016641616821289062,0.00016641616821289062
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.25209319591522217,-0.0004115104675292969,0.0004115104675292969
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.2621484100818634,-0.0005485415458679199,0.0005485415458679199
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.2820417881011963,-0.0008198022842407227,0.0008198022842407227
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.2860729992389679,-0.0008747577667236328,0.0008747577667236328
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.31007319688796997,-0.001203298568725586,0.001203298568725586
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.3141044080257416,-0.001259922981262207,0.001259922981262207
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.33407318592071533,-0.0015406012535095215,0.0015406012535095215
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.33810439705848694,-0.0015972256660461426,0.0015972256660461426
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.37023940682411194,-0.002048790454864502,0.002048790454864502
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.3781166076660156,-0.0021595358848571777,0.0021595358848571777
1,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.41025179624557495,-0.002611219882965088,0.002611219882965088
