sample_idx,Canonical_smiles,mz,intensity,importance,abs_importance
2,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.26709210872650146,0.028999999165534973,5.960464477539063e-08,5.960464477539063e-08
2,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.28308698534965515,0.20900000631809235,0.0,0.0
2,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.28409498929977417,0.010999999940395355,5.960464477539063e-08,5.960464477539063e-08
2,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.2851026952266693,0.03799999877810478,0.0,0.0
2,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.29710260033607483,0.01600000075995922,0.0,0.0
2,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.35316500067710876,0.017000000923871994,5.960464477539063e-08,5.960464477539063e-08
2,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.37317121028900146,0.03999999910593033,1.1920928955078125e-07,1.1920928955078125e-07
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.11504270136356354,0.014999999664723873,-5.960464477539063e-08,5.960464477539063e-08
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.11605039983987808,1.0,-1.1920928955078125e-07,1.1920928955078125e-07
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.12805040180683136,0.4099999964237213,-1.1920928955078125e-07,1.1920928955078125e-07
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.12905830144882202,0.017999999225139618,-5.960464477539063e-08,5.960464477539063e-08
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.13006609678268433,0.06199999898672104,-5.960464477539063e-08,5.960464477539063e-08
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.1420661062002182,0.39800000190734863,0.0,0.0
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.1680452972650528,0.08399999886751175,-5.960464477539063e-08,5.960464477539063e-08
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.18209730088710785,0.013000000268220901,-5.960464477539063e-08,5.960464477539063e-08
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.18411290645599365,0.16099999845027924,0.0,0.0
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.2400812953710556,0.01899999938905239,0.0,0.0
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.24209700524806976,0.05700000002980232,0.0,0.0
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.25409701466560364,0.012000000104308128,0.0,0.0
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.25509220361709595,0.020999999716877937,5.960464477539063e-08,5.960464477539063e-08
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.26709219813346863,0.04100000113248825,5.960464477539063e-08,5.960464477539063e-08
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.268076092004776,0.014999999664723873,0.0,0.0
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.2830871045589447,0.4429999887943268,0.0,0.0
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.2851026952266693,0.010999999940395355,0.0,0.0
3,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.29710260033607483,0.01899999938905239,5.960464477539063e-08,5.960464477539063e-08
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.11504259705543518,0.03099999949336052,0.0,0.0
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.11605039983987808,1.0,0.0,0.0
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.12805040180683136,0.38199999928474426,0.0,0.0
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.12905819714069366,0.02199999988079071,0.0,0.0
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.13006600737571716,0.08399999886751175,0.0,0.0
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.14005039632320404,0.020999999716877937,0.0,0.0
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.1410457044839859,0.013000000268220901,0.0,0.0
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.14206600189208984,0.5320000052452087,-5.960464477539063e-08,5.960464477539063e-08
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.14305010437965393,0.014999999664723873,0.0,0.0
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.15704050660133362,0.012000000104308128,5.960464477539063e-08,5.960464477539063e-08
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.1660660058259964,0.009999999776482582,0.0,0.0
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.16804519295692444,0.08699999749660492,-5.960464477539063e-08,5.960464477539063e-08
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.1820971965789795,0.012000000104308128,-5.960464477539063e-08,5.960464477539063e-08
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.18411290645599365,0.0949999988079071,-5.960464477539063e-08,5.960464477539063e-08
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.24008139967918396,0.03400000184774399,-5.960464477539063e-08,5.960464477539063e-08
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.2420969009399414,0.06300000101327896,0.0,0.0
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.25509220361709595,0.03999999910593033,5.960464477539063e-08,5.960464477539063e-08
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.26709210872650146,0.04600000008940697,5.960464477539063e-08,5.960464477539063e-08
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.268076092004776,0.019999999552965164,1.1920928955078125e-07,1.1920928955078125e-07
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.28207919001579285,0.01600000075995922,1.7881393432617188e-07,1.7881393432617188e-07
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.28308698534965515,0.6650000214576721,5.960464477539063e-08,5.960464477539063e-08
4,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.29710260033607483,0.012000000104308128,1.1920928955078125e-07,1.1920928955078125e-07
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.11504259705543518,0.039000000804662704,-5.960464477539063e-08,5.960464477539063e-08
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.11605039983987808,1.0,-5.960464477539063e-08,5.960464477539063e-08
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.12805040180683136,0.25699999928474426,-5.960464477539063e-08,5.960464477539063e-08
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.12905830144882202,0.01899999938905239,-5.960464477539063e-08,5.960464477539063e-08
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.13006609678268433,0.08500000089406967,-5.960464477539063e-08,5.960464477539063e-08
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.14005039632320404,0.041999999433755875,0.0,0.0
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.14104560017585754,0.03700000047683716,-5.960464477539063e-08,5.960464477539063e-08
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.1420661062002182,0.6010000109672546,-5.960464477539063e-08,5.960464477539063e-08
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.14305000007152557,0.017000000923871994,-5.960464477539063e-08,5.960464477539063e-08
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.15704050660133362,0.012000000104308128,5.960464477539063e-08,5.960464477539063e-08
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.1660660058259964,0.017000000923871994,-5.960464477539063e-08,5.960464477539063e-08
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.1680452972650528,0.0729999989271164,0.0,0.0
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.18411290645599365,0.035999998450279236,0.0,0.0
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.2400812953710556,0.050999999046325684,0.0,0.0
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.24209700524806976,0.05700000002980232,0.0,0.0
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.2540844976902008,0.017999999225139618,0.0,0.0
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.25509220361709595,0.052000001072883606,0.0,0.0
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.26709210872650146,0.04399999976158142,0.0,0.0
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.268076092004776,0.024000000208616257,5.960464477539063e-08,5.960464477539063e-08
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.28207919001579285,0.05700000002980232,1.1920928955078125e-07,1.1920928955078125e-07
5,O=C(Nc1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,0.28308698534965515,0.7129999995231628,0.0,0.0
