recall,precision
1.0,0.2840677966101695
1.0,0.28416412343167174
1.0,0.28426051560379917
1.0,0.28435697319307773
1.0,0.28445349626612354
1.0,0.28455008488964345
1.0,0.28464673913043476
1.0,0.2847434590553857
1.0,0.28493709622577357
1.0,0.28503401360544217
1.0,0.2851309969377339
1.0,0.2852280462899932
1.0,0.2853251617296561
1.0,0.2858117326057299
1.0,0.28620218579234974
1.0,0.2863978127136022
1.0,0.2864957264957265
1.0,0.286593707250342
1.0,0.2867898699520876
1.0,0.28688805203697365
1.0,0.28698630136986303
1.0,0.2871830020562029
1.0,0.2872814535481659
1.0,0.28737997256515774
1.0,0.28747855917667237
1.0,0.2876759354617233
1.0,0.28797250859106527
1.0,0.28807150223444483
1.0,0.28817056396148555
1.0,0.28826969384244927
1.0,0.2884681583476764
1.0,0.28856749311294766
1.0,0.28866689631415776
1.0,0.28876636802205374
1.0,0.28886590830748016
1.0,0.2889655172413793
1.0,0.2891649413388544
1.0,0.28926475664480494
1.0,0.2893646408839779
1.0,0.28946459412780656
1.0,0.2895646164478231
1.0,0.28966470791565846
1.0,0.28996539792387543
1.0,0.2901662049861496
1.0,0.29097222222222224
1.0,0.2910732893365752
1.0,0.29117442668519805
1.0,0.2915796798886569
1.0,0.2916811695092238
1.0,0.2917827298050139
1.0,0.29188436084987807
1.0,0.29198606271777006
1.0,0.2920878354827466
1.0,0.2922915940006976
1.0,0.29269996507160323
1.0,0.29280223619846263
1.0,0.2929045788185949
1.0,0.293006993006993
1.0,0.2931094788387548
1.0,0.2932120363890833
1.0,0.2933146657332867
1.0,0.2934173669467787
0.9988066825775657,0.29316987740805606
0.9988066825775657,0.29337539432176657
0.9988066825775657,0.29347826086956524
0.9988066825775657,0.29358119957909506
0.9988066825775657,0.29368421052631577
0.9988066825775657,0.2937872937872938
0.9988066825775657,0.29389044943820225
0.9976133651551312,0.293642430628732
0.9976133651551312,0.2937456078706957
0.9976133651551312,0.2938488576449912
0.9976133651551312,0.2939521800281294
0.9976133651551312,0.2940555750967288
0.9976133651551312,0.2941590429275158
0.9976133651551312,0.2943661971830986
0.9976133651551312,0.294469883761888
0.9976133651551312,0.29457364341085274
0.9976133651551312,0.2946774762072612
0.9976133651551312,0.2947813822284908
0.9976133651551312,0.2948853615520282
0.9976133651551312,0.2949894142554693
