fold,epoch,train_loss,val_loss,train_acc,train_pr,train_roc,val_acc_all,val_pr_all,val_roc_all,val_acc_pos,val_pr_pos,val_roc_pos,lr
1,1,0.4309407787529558,0.3344535000922059,0.813764942596757,0.6850634124464194,0.8843202225843416,0.8537278106508875,0.6778482808825824,0.8891039002901042,0.8537278106508875,0.6778482808825824,0.8891039002901042,0.001
1,2,0.4101397683968529,0.5399506006226737,0.8278494496390105,0.7103462448822003,0.8947338688597062,0.8035502958579882,0.7086962614926019,0.8949897926292039,0.8035502958579882,0.7086962614926019,0.8949897926292039,0.001
1,3,0.40502489887901927,0.39947146957089913,0.8247721623860812,0.7131706304431701,0.8976589205724271,0.8482840236686391,0.6883597821875668,0.8818054510941586,0.8482840236686391,0.6883597821875668,0.8818054510941586,0.001
1,4,0.40412678601742075,0.31998128648164004,0.8297431648715824,0.7194791925062627,0.8971072076186195,0.861301775147929,0.6634825825608649,0.8978371118512948,0.861301775147929,0.6634825825608649,0.8978371118512948,0.001
1,5,0.40203632026159464,0.32504413942260857,0.8265475204166174,0.7226889573839471,0.8978889424496324,0.8648520710059172,0.7229830198700095,0.8828046989720999,0.8648520710059172,0.7229830198700095,0.8828046989720999,0.001
1,6,0.3982567220047982,0.40120245283877354,0.8332347023316369,0.7284072295205757,0.9002151126565856,0.8246153846153846,0.7114526310651226,0.885943017800222,0.8246153846153846,0.7114526310651226,0.885943017800222,0.001
1,7,0.40279691786381716,0.3488373130171962,0.8314593443011007,0.7209228710809124,0.8976621899681512,0.8485207100591716,0.7201879479077381,0.8912141398947029,0.8485207100591716,0.7201879479077381,0.8912141398947029,0.001
1,8,0.39736998499547366,0.32477032539054485,0.8330571665285833,0.736051031452404,0.9007890516804345,0.8542011834319526,0.6947967947840191,0.9043132409297662,0.8542011834319526,0.6947967947840191,0.9043132409297662,0.001
1,9,0.39387006312520534,0.3249477407627204,0.8391525624334241,0.7420358533533759,0.9019507931301789,0.8444970414201184,0.7352730834759182,0.9080942659646861,0.8444970414201184,0.7352730834759182,0.9080942659646861,0.001
1,10,0.3940459205520437,0.3532501878311648,0.8330571665285833,0.7434593655269042,0.9026338834041514,0.8371597633136094,0.7110671229874937,0.9006439597435622,0.8371597633136094,0.7110671229874937,0.9006439597435622,0.001
1,11,0.3881463513231543,0.34804503648238777,0.8370221327967807,0.752444720942407,0.9048438784959834,0.8179881656804734,0.7142811881997353,0.88201747788403,0.8179881656804734,0.7142811881997353,0.88201747788403,0.001
1,12,0.38496102648404157,0.3335640115542172,0.8413421706710853,0.7530834429021928,0.9071187861302182,0.8390532544378698,0.7405215782561919,0.9124128791948714,0.8390532544378698,0.7405215782561919,0.9124128791948714,0.001
1,13,0.38521237947388026,0.34021746501238387,0.8365487039886377,0.759531468951361,0.9068093965188329,0.821301775147929,0.7361226217920147,0.9073815407757602,0.821301775147929,0.7361226217920147,0.9073815407757602,0.001
1,14,0.38416785192935476,0.32279864704556016,0.8341815599479229,0.7652660924397874,0.9077470436901477,0.8653254437869823,0.7653640957139023,0.9179338132588375,0.8653254437869823,0.7653640957139023,0.9179338132588375,0.001
1,15,0.3844385396546761,0.34851677714103074,0.8379689904130666,0.7633237323801193,0.9073623609623983,0.8227218934911242,0.7349577696714085,0.8931417212850542,0.8227218934911242,0.7349577696714085,0.8931417212850542,0.001
1,16,0.3780380041606469,0.3014076529540254,0.8371996685998343,0.7683575161010553,0.9106420596486795,0.8591715976331361,0.7466907256845566,0.9144711865620859,0.8591715976331361,0.7466907256845566,0.9144711865620859,0.001
1,17,0.37958855770201155,0.3687000442909066,0.837791454610013,0.7687328367381985,0.9102430478482758,0.8134911242603551,0.7578454391798661,0.9111751011783247,0.8134911242603551,0.7578454391798661,0.9111751011783247,0.001
1,18,0.3723690667820056,0.31588031840218594,0.839211741034442,0.7771337517621755,0.9133510984083069,0.8553846153846154,0.7690778108497458,0.9207141578023709,0.8553846153846154,0.7690778108497458,0.9207141578023709,0.001
1,19,0.37704049579024046,0.3566608450187029,0.8370813113977985,0.7758450868973542,0.9110390244387039,0.8558579881656805,0.7471885982247163,0.8987521936893379,0.8558579881656805,0.7471885982247163,0.8987521936893379,0.001
1,20,0.37687005608981144,0.3134397778787909,0.8408687418629424,0.7783337443000184,0.911234237437992,0.8492307692307692,0.7324227712875881,0.891247448157301,0.8492307692307692,0.7324227712875881,0.891247448157301,0.001
1,21,0.37212251180028727,0.3004470408452157,0.8409279204639603,0.7791181592447463,0.9135042167249634,0.856094674556213,0.7512775355713464,0.9149589914401347,0.856094674556213,0.7512775355713464,0.9149589914401347,0.001
1,22,0.3710732666863988,0.3141633281658387,0.8383832406201918,0.779573129976189,0.9142141800735822,0.8487573964497042,0.749621271250737,0.9136617599656172,0.8487573964497042,0.749621271250737,0.9136617599656172,0.001
