fold,epoch,train_loss,val_loss,train_acc,train_pr,train_roc,val_acc_all,val_pr_all,val_roc_all,val_acc_pos,val_pr_pos,val_roc_pos,val_acc_neg,val_pr_neg,val_roc_neg,lr
1,1,0.43213455629942404,0.40292034127189175,0.8130674904053169,0.64745649289664,0.8812485446429246,0.8244103332085362,0.7220999950784515,0.8864568962677188,0.8244704821991888,0.7299969096614005,0.8987251982982127,0.8241150442477876,0.6997670646790298,0.8427471532091098,0.001
1,2,0.41713720321275877,0.3188779793264088,0.8305719367218946,0.6771181239756301,0.8894928943800335,0.8676525645825534,0.7301683262603429,0.9009208775672313,0.8675078864353313,0.7374580646245611,0.9077914464421724,0.8683628318584071,0.670942836521224,0.8575472308488612,0.001
1,3,0.412460284627891,0.3324452367018823,0.8323504633529908,0.6824969391350616,0.8922970086486511,0.858292774241857,0.7257240230407532,0.9000163000518716,0.8569175304191077,0.73173484394691,0.9056015879243889,0.8650442477876106,0.6774584941812002,0.8577655926501034,0.001
1,4,0.4029916676548908,0.3291511279630197,0.8329589066741552,0.6892253557866347,0.8974418455879675,0.8590415574691127,0.7151272864766423,0.8940042294005133,0.8609734114465976,0.725809580536943,0.9061130472915272,0.8495575221238938,0.6712789528238119,0.8465563535196687,0.001
1,5,0.39459492416403263,0.3377524446744858,0.8403070298605261,0.7000536233785799,0.9019426937876225,0.8566080119805316,0.7338744101149337,0.8957196106849963,0.8571428571428571,0.7418167499677758,0.9065932713242705,0.8539823008849557,0.6870417861859092,0.8476805124223603,0.001
1,6,0.38763702888786933,0.3315972792509788,0.8420387531592249,0.7098751932254959,0.9052993532949218,0.8575439910146013,0.7309791595480735,0.9024335309938919,0.8580441640378549,0.7379643383356225,0.910638939537317,0.8550884955752213,0.6860298741173139,0.858210403726708,0.001
1,7,0.3884466655059308,0.3877440872530685,0.8363287466067584,0.7165818256490657,0.9046196978499917,0.8425683264694871,0.7222744985592666,0.9015924741562356,0.8422712933753943,0.7293412167073895,0.9054221770874205,0.8440265486725663,0.6893321354342115,0.8830227743271222,0.001
1,8,0.38358674915131696,0.31494827467553493,0.8428344098099785,0.7213196747312697,0.9072298826102175,0.8558592287532759,0.7327834063364496,0.8978012586568458,0.8557908968003605,0.7415938028637188,0.9082776713519668,0.8561946902654868,0.6786889391591425,0.8550886387163561,0.001
1,9,0.38234239380915136,0.3897018692508836,0.8437704764579238,0.7290309841174719,0.9077142963059438,0.8109322351179333,0.7279407977502349,0.8820552362893848,0.8062190175754844,0.7359841508759813,0.8953006977942931,0.834070796460177,0.6931719034790182,0.8271787655279503,0.001
1,10,0.37367862213040676,0.3156447967717327,0.8464850697369652,0.7417593864653182,0.9121273096668517,0.8642830400599026,0.7506876670662577,0.9081949641237366,0.8625506985128436,0.7610611460565816,0.917177741362199,0.8727876106194691,0.6940933977849465,0.8636047489648033,0.0005
