fold,epoch,train_loss,val_loss,val_cl_acc,val_br_acc,val_pr_auc,pos_cl_acc,pos_br_acc,pos_pr_auc,neg_cl_acc,neg_br_acc,neg_pr_auc,lr
1,1,0.044979194558918176,0.18988007506397583,0.9831261228889687,0.9925763564498742,0.9975820366613335,0.9854813891799533,0.9961485089632126,0.9986446284184379,0.9756148959869946,0.9811843333232984,0.9934474435957987,0.001
1,2,0.005925045297246314,0.19692124690923177,0.9836291771469637,0.9924757455982752,0.9974779764059236,0.9880018502260863,0.9963373075434473,0.9985012393985581,0.9696841978504982,0.9801607610560857,0.9935301726025173,0.001
1,3,0.00397852013495074,0.2349028191283662,0.9869277757815307,0.9927703916636723,0.9970686573285907,0.9911359066579819,0.9962145884662947,0.9980204173555147,0.973507541319204,0.9817864346569528,0.9934153995147461,0.001
1,4,0.0033229904452633232,0.3261200943538058,0.9873877111031262,0.9918720804886813,0.9962467736626628,0.9921365391332257,0.9957709118027432,0.9977626366624766,0.9722431285185297,0.9794382394557004,0.9905949136864054,0.001
1,5,0.0024639257765115123,0.2790645687364828,0.9880344951491197,0.9920804886812792,0.9969036845015276,0.9921931787072962,0.995818111447802,0.9979451069702304,0.9747719541198784,0.9801607610560857,0.9929499976786738,0.001
1,6,0.0024507132809593692,0.28761399840977164,0.9868343514193316,0.991692418253683,0.9981403312103607,0.9909093483617003,0.9952422757780861,0.9989106979883025,0.973838697052714,0.9803714965228648,0.994801607728476,0.001
1,7,0.002285801738005123,0.2987476028362481,0.9860653970535393,0.9923248293208767,0.9970241004035094,0.9905223112722192,0.9965733057687406,0.9977792714879891,0.9718517626516543,0.9787759279886805,0.993858456637517,0.001
1,8,0.0020250028395210036,0.32456235580392206,0.9869421487603306,0.9924326266618757,0.9965908201094301,0.9916928624696743,0.9951195567009337,0.9976249788359128,0.9717915525182889,0.9838636842580606,0.9925820718945761,0.001
1,9,0.0009192557675746328,0.42144795183246114,0.9859216672655408,0.9908803449514912,0.9963479556551551,0.9905223112722192,0.9946098005343,0.9974525937174152,0.9712496613179998,0.9789866634554596,0.9919312084922175,0.0005
1,10,0.000829402968897181,0.5199135100293868,0.9849514911965505,0.9914696370822853,0.9958360820428298,0.9891346417074943,0.9953366750682034,0.9971602081346476,0.9716109221181924,0.9791371887888731,0.990795676528951,0.0005
1,11,0.00104006160775572,0.4630765124250963,0.9842112827883579,0.9915415019762845,0.9961945302683501,0.9885210463217317,0.9953272351391917,0.9973990492063702,0.9704669295842491,0.9794683445223831,0.9913717212301989,0.0005
1,12,0.0007943714028991725,0.5337128007173404,0.9838663312971614,0.9901688825008983,0.995393117371926,0.9883039279544618,0.994147244012725,0.9965515971391626,0.969714302917181,0.9774814101213234,0.9907653862352471,0.0005
1,13,0.0006699889023809927,0.46259299376923413,0.9858066834351419,0.9927847646424721,0.9966542209351663,0.989785996809304,0.9956765125126259,0.9974514976584756,0.9731161754523286,0.9835626335912334,0.9935049433456646,0.0005
1,14,0.0007755030119509991,0.6331072203781158,0.9845777937477542,0.9923535752784765,0.9962737506086076,0.9886815251149311,0.996205148537283,0.9973654260559977,0.9714905018514616,0.9800704458560375,0.9919917535318901,0.0005
1,15,0.0006901602617305432,0.45484346103393447,0.9856845131153431,0.9921954725116781,0.9965488422136004,0.9902957529759376,0.9959313905959427,0.9974377283813738,0.9709787157178553,0.9802811813228166,0.9929081495995392,0.0005
1,16,0.0008261358257168912,0.4171198785473637,0.9864534674811355,0.9916205533596838,0.996593165245191,0.9907488695685008,0.996063549602107,0.9975406620918218,0.9727549146521359,0.9774513050546407,0.9926262442250671,0.0005
2,1,0.04252798860209268,0.086295538179745,0.9827091822434944,0.9918289028307785,0.9992161294231006,0.9806849598465329,0.991800041375938,0.9991520125757534,0.9892705824976377,0.9919224555735057,0.9994171471868665,0.001
