fold,epoch,train_loss,val_loss,val_cl_acc,val_br_acc,val_pr_auc,neg_cl_acc,neg_br_acc,neg_pr_auc,lr
1,1,0.20494037059263245,0.04819203157116129,0.9944683281724439,0.9956107386585695,0.9994250251107389,0.9944683281724439,0.9956107386585695,0.9994250251107389,0.001
1,2,0.0534383894917197,0.05454838591686244,0.9948591528124342,0.9959414364308692,0.9994765400843358,0.9948591528124342,0.9959414364308692,0.9994765400843358,0.001
1,3,0.03850112892125089,0.04802195347658826,0.996362324504705,0.9980759402338936,0.9994494738986762,0.996362324504705,0.9980759402338936,0.9994494738986762,0.001
1,4,0.028919730837618774,0.05890560952037876,0.9975949252923669,0.9991882872861738,0.9992318479190703,0.9975949252923669,0.9991882872861738,0.9992318479190703,0.001
1,5,0.027364102083976632,0.06778196117586416,0.9974746715569852,0.9976249887262123,0.9992454053502194,0.9974746715569852,0.9976249887262123,0.9992454053502194,0.001
1,6,0.020394642539989887,0.08189053680797619,0.996362324504705,0.9981060036677389,0.9991070101058241,0.996362324504705,0.9981060036677389,0.9991070101058241,0.0005
1,7,0.018505764554411677,0.06495440189760958,0.9975648618585214,0.9987072723446472,0.9992176216949844,0.9975648618585214,0.9987072723446472,0.9992176216949844,0.0005
1,8,0.017830920418803714,0.07870801589219627,0.9975949252923669,0.9980158133662027,0.9991128722475132,0.9975949252923669,0.9980158133662027,0.9991128722475132,0.0005
1,9,0.016589808323747117,0.0732741127409116,0.9975949252923669,0.9976249887262123,0.9991285742284944,0.9975949252923669,0.9976249887262123,0.9991285742284944,0.0005
1,10,0.012775197255138551,0.0780373977065215,0.9975949252923669,0.99927847758771,0.9991125029802301,0.9975949252923669,0.99927847758771,0.9991125029802301,0.00025
1,11,0.01299958611872903,0.07470628762556625,0.9975949252923669,0.99927847758771,0.9991436049699849,0.9975949252923669,0.99927847758771,0.9991436049699849,0.00025
1,12,0.01215202874488644,0.07273853750373245,0.9975347984246761,0.9987072723446472,0.9990927255068679,0.9975347984246761,0.9987072723446472,0.9990927255068679,0.00025
2,1,0.19270232920015484,0.057516176391693215,0.9929348806445794,0.9997594852985389,0.999196567834528,0.9929348806445794,0.9997594852985389,0.999196567834528,0.001
2,2,0.05717861506279072,0.08053683767685513,0.9889062593951056,0.9963622151404005,0.9989884336275954,0.9889062593951056,0.9963622151404005,0.9989884336275954,0.001
2,3,0.04160171150930969,0.06433695151225864,0.9904094762792376,0.999579099272443,0.9991575167021001,0.9904094762792376,0.999579099272443,0.9991575167021001,0.001
2,4,0.03368268321513402,0.06528973533126665,0.9919126931633696,0.9992183272202514,0.9991351602837452,0.9919126931633696,0.9992183272202514,0.9991351602837452,0.001
2,5,0.028265863913083566,0.09115174744118638,0.9877938789008478,0.9960014430882088,0.9989786512360903,0.9877938789008478,0.9960014430882088,0.9989786512360903,0.001
2,6,0.02052763845601777,0.06278007700022774,0.9953400276591907,0.9997594852985389,0.9991392108056842,0.9953400276591907,0.9997594852985389,0.9991392108056842,0.0005
2,7,0.01966580142201593,0.07661412906624705,0.9905898623053334,0.9993085202332993,0.9991189707793716,0.9905898623053334,0.9993085202332993,0.9991189707793716,0.0005
2,8,0.017957568747774186,0.0732574388566773,0.9954602850099212,0.9994287775840298,0.9991364599661858,0.9954602850099212,0.9994287775840298,0.9991364599661858,0.0005
2,9,0.01630231521242271,0.07677958441799473,0.9951295772954122,0.9997294209608563,0.9989651667795998,0.9951295772954122,0.9997294209608563,0.9989651667795998,0.0005
2,10,0.013664394428560824,0.07786432010641446,0.9945282905417594,0.999669292285491,0.9990630534461558,0.9945282905417594,0.999669292285491,0.9990630534461558,0.00025
2,11,0.013148460758505853,0.08382312157023764,0.9954302206722386,0.9996392279478084,0.9989205036061826,0.9954302206722386,0.9996392279478084,0.9989205036061826,0.00025
3,1,0.20487236207810797,0.06456961487913489,0.9846371234441705,0.998075882388311,0.9992751931124448,0.9846371234441705,0.998075882388311,0.9992751931124448,0.001
3,2,0.058671761042821825,0.05253368386034972,0.9935361673982323,0.9981059467259936,0.9994441344091883,0.9935361673982323,0.9981059467259936,0.9994441344091883,0.001
3,3,0.04366409812194234,0.07327535927106366,0.9904696049546029,0.9979556250375804,0.9991687649016777,0.9904696049546029,0.9979556250375804,0.9991687649016777,0.001
3,4,0.03744218907965018,0.06233283065967459,0.9947387409055378,0.9998496783115868,0.9991911248459951,0.9947387409055378,0.9998496783115868,0.9991911248459951,0.001
3,5,0.028539004859384917,0.087762246246348,0.9942877758402983,0.9995189705970777,0.9990558310561612,0.9942877758402983,0.9995189705970777,0.9990558310561612,0.001
3,6,0.024939016876755378,0.07709382250031684,0.9967229871925921,0.9999398713246347,0.9991556640198593,0.9967229871925921,0.9999398713246347,0.9991556640198593,0.001
3,7,0.01866755707173887,0.08482269152079264,0.996061571763574,0.9996091636101256,0.9991119363149583,0.996061571763574,0.9996091636101256,0.9991119363149583,0.0005
3,8,0.01765864477029444,0.08438700945516008,0.9970536949071012,0.9998496783115868,0.9991184096568517,0.9970536949071012,0.9998496783115868,0.9991184096568517,0.0005
3,9,0.017108376665126712,0.090057195377884,0.9957007997113824,0.999579099272443,0.9991055578358867,0.9957007997113824,0.999579099272443,0.9991055578358867,0.0005
3,10,0.01573204139271735,0.0752079836388452,0.99681318020564,0.9996993566231736,0.9991863390363906,0.99681318020564,0.9996993566231736,0.9991863390363906,0.0005
3,11,0.013026438486613745,0.09039517815637388,0.9966027298418616,0.9999098069869521,0.9991216479404685,0.9966027298418616,0.9999098069869521,0.9991216479404685,0.00025
3,12,0.012084496366256785,0.08931630798290646,0.9973543382839276,0.9998196139739042,0.9991348528204483,0.9973543382839276,0.9998196139739042,0.9991348528204483,0.00025
4,1,0.21299961558667918,0.0409273894804035,0.9960916361012567,0.9978654320245325,0.9995759830700636,0.9960916361012567,0.9978654320245325,0.9995759830700636,0.001
4,2,0.06004373617459625,0.03907478699030374,0.9963020864650352,0.9973844026216102,0.9996361130778584,0.9963020864650352,0.9973844026216102,0.9996361130778584,0.001
4,3,0.04057758384671482,0.07243729131908253,0.99681318020564,0.9975948529853887,0.9992175791615836,0.99681318020564,0.9975948529853887,0.9992175791615836,0.001
4,4,0.03247891884831613,0.041800276070286954,0.9963622151404005,0.9985268474535506,0.9996238588010279,0.9963622151404005,0.9985268474535506,0.9996238588010279,0.001
4,5,0.027923651264729434,0.04906862212245613,0.9971138235824665,0.9993385845709819,0.9995068061845295,0.9971138235824665,0.9993385845709819,0.9995068061845295,0.001
4,6,0.019530091855859005,0.05172695595653956,0.9971138235824665,0.9994588419217124,0.9994163782787304,0.9971138235824665,0.9994588419217124,0.9994163782787304,0.0005
4,7,0.019400592444528388,0.05128046345374616,0.9969635018940533,0.9990680055318382,0.9993903912115797,0.9969635018940533,0.9990680055318382,0.9993903912115797,0.0005
4,8,0.019008642920054015,0.064168199483429,0.9971739522578318,0.9993686489086645,0.9992633434193781,0.9971739522578318,0.9993686489086645,0.9992633434193781,0.0005
4,9,0.01670881591494012,0.07836884643886693,0.9970236305694186,0.9995189705970777,0.9991666687271938,0.9970236305694186,0.9995189705970777,0.9991666687271938,0.0005
4,10,0.013926481983957361,0.0668396271667879,0.9970536949071012,0.999248391557934,0.999266701904844,0.9970536949071012,0.999248391557934,0.999266701904844,0.00025
4,11,0.015094458719475647,0.06211235831222547,0.9971438879201491,0.9994588419217124,0.9993014728698855,0.9971438879201491,0.9994588419217124,0.9993014728698855,0.00025
4,12,0.012867567861526099,0.08370436002154824,0.9971138235824665,0.9994588419217124,0.9991597692243094,0.9971138235824665,0.9994588419217124,0.9991597692243094,0.00025
5,1,0.19973195640717567,0.06302414562520894,0.979826829414948,0.9930852023329926,0.9994540570202674,0.979826829414948,0.9930852023329926,0.9994540570202674,0.001
5,2,0.05561843968334889,0.024986094589349413,0.9922734652155613,0.9972040165955144,0.9999136977662118,0.9922734652155613,0.9972040165955144,0.9999136977662118,0.001
5,3,0.04327595220600729,0.024717487339306975,0.9914015994227647,0.9987372978173291,0.9998908760727717,0.9914015994227647,0.9987372978173291,0.9998908760727717,0.001
5,4,0.0351564854865534,0.035448749559617784,0.9903794119415549,0.998075882388311,0.9997695212918176,0.9903794119415549,0.998075882388311,0.9997695212918176,0.001
5,5,0.028344584139818357,0.012135122322828118,0.9972040165955144,0.9995490349347604,0.9999761871050832,0.9972040165955144,0.9995490349347604,0.9999761871050832,0.001
5,6,0.025961497411108297,0.008446028179326739,0.9979255606998978,0.9997594852985389,0.9999857457460506,0.9979255606998978,0.9997594852985389,0.9999857457460506,0.001
5,7,0.018490267472638603,0.01379461773784228,0.9977752390114846,0.9987673621550117,0.999962113593878,0.9977752390114846,0.9987673621550117,0.999962113593878,0.0005
5,8,0.017088858345134496,0.009409596006110988,0.9989176838434249,0.9991581985448861,0.9999837646526779,0.9989176838434249,0.9991581985448861,0.9999837646526779,0.0005
5,9,0.016305652046863624,0.0081895737772529,0.9988575551680596,0.9993686489086645,0.9999916776717307,0.9988575551680596,0.9993686489086645,0.9999916776717307,0.0005
5,10,0.014872443747790898,0.007415918089144906,0.9985869761289159,0.9993987132463472,0.9999856429058558,0.9985869761289159,0.9993987132463472,0.9999856429058558,0.0005
5,11,0.01345057538187541,0.005967798132382211,0.9989477481811075,0.9995189705970777,0.9999913167131216,0.9989477481811075,0.9995189705970777,0.9999913167131216,0.00025
5,12,0.013260562233401307,0.003965703477234025,0.9994588419217124,0.999669292285491,0.9999970721666538,0.9994588419217124,0.999669292285491,0.9999970721666538,0.00025
5,13,0.012708312583893246,0.005816441251138203,0.9992183272202514,0.9996392279478084,0.9999920508673177,0.9992183272202514,0.9996392279478084,0.9999920508673177,0.00025
5,14,0.011415409118256097,0.005736184309748284,0.9989176838434249,0.9996993566231736,0.9999920686633814,0.9989176838434249,0.9996993566231736,0.9999920686633814,0.00025
5,15,0.010483204603978348,0.003773945561707311,0.9994287775840298,0.9997594852985389,0.999995988777749,0.9994287775840298,0.9997594852985389,0.999995988777749,0.000125
5,16,0.010181737771589454,0.0028365809312031398,0.9996091636101256,0.9998496783115868,0.9999981121331419,0.9996091636101256,0.9998496783115868,0.9999981121331419,0.000125
5,17,0.010182418485397818,0.005190392382387473,0.999248391557934,0.9995490349347604,0.9999930020108763,0.999248391557934,0.9995490349347604,0.9999930020108763,0.000125
5,18,0.009024061103030324,0.004989894943760271,0.9992784558956166,0.9996091636101256,0.9999937082650643,0.9992784558956166,0.9996091636101256,0.9999937082650643,0.000125
5,19,0.009349161354679766,0.007095605542717542,0.9990680055318382,0.9991281342072034,0.9999873797731711,0.9990680055318382,0.9991281342072034,0.9999873797731711,6.25e-05
5,20,0.009453872535677614,0.00489872262183632,0.9992784558956166,0.9996392279478084,0.999993759537229,0.9992784558956166,0.9996392279478084,0.999993759537229,6.25e-05
5,21,0.008699298062214563,0.005808768410568762,0.9989477481811075,0.999579099272443,0.9999911023718884,0.9989477481811075,0.999579099272443,0.9999911023718884,6.25e-05
5,22,0.009340771384405158,0.006472323210304669,0.9985869761289159,0.9996993566231736,0.9999910425744856,0.9985869761289159,0.9996993566231736,0.9999910425744856,6.25e-05
5,23,0.008632101210896082,0.004653529345556296,0.999248391557934,0.9996993566231736,0.9999936688472906,0.999248391557934,0.9996993566231736,0.9999936688472906,3.125e-05
5,24,0.009002255611275328,0.005909586091280579,0.9987372978173291,0.9996392279478084,0.9999920752350813,0.9987372978173291,0.9996392279478084,0.9999920752350813,3.125e-05
5,25,0.00834351162548244,0.006610883211150172,0.9988575551680596,0.9993686489086645,0.9999898182597681,0.9988575551680596,0.9993686489086645,0.9999898182597681,3.125e-05
5,26,0.008705882420157502,0.004117161913293498,0.9993686489086645,0.9997294209608563,0.9999951999200196,0.9993686489086645,0.9997294209608563,0.9999951999200196,3.125e-05
