fold,epoch,train_loss,val_loss,train_acc,train_pr,train_roc,val_acc_all,val_pr_all,val_roc_all,val_acc_pos,val_pr_pos,val_roc_pos,val_acc_neg,val_pr_neg,val_roc_neg,lr
1,1,0.2920250201262515,0.42169492008021137,0.8858114004868862,0.8417853461255252,0.9475251082626639,0.8381407312144038,0.6400355005150454,0.8901755071349658,0.8404302019315188,0.6972216569828452,0.8997666878768598,0.826381059751973,0.37096858159531965,0.8180063001727467,0.001
1,2,0.1794804485462485,0.4499118452364363,0.9314225345643287,0.9305676976281456,0.9798099910930097,0.8519198971155613,0.6631662049259391,0.9016483724212676,0.8560140474100087,0.722125741624824,0.9086674660167977,0.830890642615558,0.3940102394039666,0.8558683060664566,0.001
1,3,0.1329183337196915,0.5333879786414706,0.9535161453309449,0.9583987921828404,0.9886131306966984,0.8379570090023883,0.6351883009304119,0.8822197157775791,0.8342844600526778,0.6910171977933157,0.8886672640149597,0.8568207440811725,0.3855435437835124,0.8354029062087186,0.001
1,4,0.10747380331096182,0.5380125785233316,0.9618299572826237,0.9740230300237199,0.9924993982932475,0.8423663420907588,0.6374748994753674,0.8829119985885496,0.8399912203687445,0.6966863672824295,0.893069749791866,0.85456595264938,0.38637509962189426,0.8214409104765776,0.001
1,5,0.08944528915671122,0.5593984376443811,0.9684442607137935,0.978992372408048,0.9947739841189708,0.8355686202461877,0.6402029612964689,0.8875794465938257,0.8296751536435469,0.687639359779813,0.8922856940855304,0.8658399098083427,0.43081209428718503,0.8566101005995327,0.001
1,6,0.07588686189947007,0.7086375724208165,0.972302604381976,0.9855087245627585,0.9962117204029947,0.8408965643946353,0.6258885870861162,0.866225378382125,0.8456979806848113,0.6913348959252906,0.876692017897363,0.8162344983089064,0.35659727081109477,0.8085966873285234,0.001
1,7,0.05191761547165101,0.7637675167475942,0.9831886454457764,0.9919487158462682,0.9980295023942621,0.848429175087268,0.6331535647755091,0.8781946667338785,0.8483318700614574,0.6891159619909359,0.8835505574529299,0.8489289740698985,0.393989905526012,0.8467533787216747,0.0005
1,8,0.04279811981646042,0.7611562369292806,0.9856230765697488,0.9948223645960472,0.9985970205294673,0.8423663420907588,0.6342403601775513,0.8761979475158893,0.8428446005267779,0.6927382370094222,0.882978603676722,0.8399098083427283,0.3674396068508629,0.8335230159536633,0.0005
1,9,0.036273757278346676,0.8243488416921188,0.9872307197648248,0.9963635158571275,0.9990816336887804,0.8418151754547125,0.632620734545409,0.86950490016929,0.8439420544337137,0.6982734666541766,0.8765094948078314,0.830890642615558,0.36667862744247876,0.8274260745859161,0.0005
1,10,0.03427613478423104,0.7835820322715848,0.9879197097055716,0.9967332021379858,0.999178524036774,0.8408965643946353,0.6371992762708379,0.8742756865067863,0.8388937664618086,0.6910809247445147,0.8805042254455944,0.8511837655016911,0.38354801071294453,0.829539680926735,0.0005
1,11,0.026959522110542325,0.8572132581763858,0.9908134674567085,0.997882095887062,0.9994050986870099,0.8508175638434686,0.6445407335407342,0.8813940593061209,0.8505267778753293,0.709541379554074,0.8903343563283569,0.8523111612175873,0.37384901190552183,0.827304135758561,0.00025
1,12,0.025355446367734135,0.8229678923799447,0.9916402553856047,0.997843604114945,0.9994737729333953,0.8462245085430828,0.6594973998648521,0.8893486954585744,0.847892888498683,0.7223711395451304,0.8967750406528698,0.8376550169109357,0.3832464013591558,0.8452291433797379,0.00025
2,1,0.2944770177063038,0.36381858381966176,0.8783243764641037,0.8313100693743688,0.9464032479107197,0.8517361749035458,0.7341189524938281,0.9091688196238576,0.847556856563837,0.7428218312232452,0.9099961085426201,0.8702594810379242,0.6664576353211624,0.903604931653712,0.001
2,2,0.18310150342992712,0.40204064052506705,0.9290340361030729,0.9286889467627677,0.9789571428702486,0.856880396839978,0.7272403459188437,0.8975505895332547,0.8590407565863544,0.7359222299444717,0.9030405640870758,0.8473053892215568,0.6881190775706275,0.8659474671669793,0.001
2,3,0.13145632697306536,0.4277805343847395,0.9502549262780764,0.9600545893792412,0.9888940729272754,0.860738563292302,0.7215339949848197,0.8951454287857321,0.8633190722810178,0.738952406404669,0.9008180772715657,0.8493013972055888,0.6340586364404294,0.8630393996247655,0.001
2,4,0.10497116767905937,0.4155350556374752,0.9630242065132516,0.9737098506118512,0.9928498822910204,0.8728642292853206,0.7610926512052781,0.9150973890681366,0.8709750056293628,0.7729300025805191,0.9176984352856445,0.8812375249500998,0.6878599225161494,0.9015277405521309,0.001
2,5,0.09008534195526231,0.4761785558445454,0.9672500114831657,0.9811150407675914,0.9947141899115088,0.8647804519566415,0.7389130981350565,0.9090131518896416,0.8648952938527359,0.7499092604661082,0.9136870397044816,0.8642714570858283,0.671418539012504,0.8777137496649692,0.001
2,6,0.07897495437427314,0.5186851894020779,0.9735427862753204,0.9850104660333816,0.995634643594667,0.8734153959213669,0.7364522442661504,0.898004893264915,0.8768295428957442,0.7537428636372128,0.903686284645587,0.8582834331337326,0.6495160211389841,0.8690230501206111,0.001
2,7,0.06980049114561909,0.5258036095821803,0.9769418033163383,0.9882779183741117,0.9966619088552563,0.8561455079919162,0.7402607166683236,0.9033360914996884,0.8554379644224274,0.7528272141792092,0.9061591025253816,0.8592814371257484,0.6703874017031362,0.8892522112034308,0.001
2,8,0.06570625022155702,0.5094910985925192,0.977125533967204,0.988931037166352,0.9970685005581069,0.8561455079919162,0.7151407376649301,0.8991066715877116,0.8561134879531637,0.7305825272223154,0.9055967288525428,0.8562874251497006,0.6495277737545951,0.8643795229161084,0.001
2,9,0.040935977993287555,0.617050885930034,0.9860364705341969,0.9955522048946738,0.9988358193345731,0.8491640639353297,0.7187127514686696,0.8914968112422066,0.8527358702994821,0.7342692486577895,0.9019946623144297,0.8333333333333334,0.6391410517765777,0.8294894130259983,0.0005
2,10,0.036671681132571916,0.5944603877502883,0.988057507693721,0.9966637348555448,0.9990957187691794,0.8636781186845489,0.7341147713199834,0.9084586413947195,0.8651204683629813,0.7494890801604182,0.9159748681551008,0.8572854291417166,0.6480405373319498,0.8656392388099705,0.0005
2,11,0.03051435317547743,0.651027132675367,0.990170410178678,0.9972619643727776,0.9993260779221255,0.8576152856880397,0.7216752505760117,0.8997836129201243,0.8581400585453727,0.7430136552688917,0.9063591931324488,0.8552894211576846,0.6081243257873542,0.8636558563387833,0.0005
2,12,0.027349672949857982,0.6363263005485601,0.9907216021312756,0.997878301634966,0.9994457724174238,0.860738563292302,0.7320963451352889,0.902176867913596,0.8619680252195452,0.7399673306521399,0.9061527135655042,0.8552894211576846,0.6900487735531092,0.8793151969981239,0.0005
2,13,0.021091932753014752,0.6685053434046693,0.9931560332552478,0.998838206761521,0.9996948727428518,0.856512952415947,0.7310372374685769,0.8993969735573202,0.8567890114839001,0.7458432316718473,0.9057676335292615,0.8552894211576846,0.6432468422690049,0.8608415974269633,0.00025
2,14,0.016918184268075065,0.7087544081364918,0.9938450231959947,0.9992909410726594,0.9998208448756457,0.856512952415947,0.7228516522446982,0.895429480234464,0.8572393605043909,0.7394858605579496,0.9024298376042563,0.8532934131736527,0.6310357716082357,0.854804341999464,0.00025
3,1,0.3046787235110548,0.4377031793505441,0.8739148408433237,0.8168014000963224,0.942582221111565,0.7567517912915671,0.6582761346134026,0.8586080120629919,0.7355826752811677,0.6772630188443904,0.8554548597477536,0.8267405063291139,0.6148037249020645,0.876293788433635,0.001
3,2,0.1807375879819072,0.4428648956533403,0.9300904873455514,0.9277488272621752,0.9796252021318262,0.825463898585339,0.6224982607472554,0.8503083517581981,0.8324958123953099,0.6566277194354172,0.8490665836748579,0.8022151898734177,0.5597203683052897,0.8605264976162509,0.001
