fold,epoch,train_loss,val_loss,train_acc,train_pr,train_roc,val_acc_all,val_pr_all,val_roc_all,val_acc_neg,val_pr_neg,val_roc_neg,lr
1,1,0.4557900716656537,0.5153803516949728,0.8319158460161146,0.49434608809024994,0.8545523155520169,0.7547000895255148,0.4118669926412619,0.8421167037001255,0.7547000895255148,0.4118669926412619,0.8421167037001255,0.001
1,2,0.42439914293980746,0.4259733063308064,0.8368397493285586,0.520069550857013,0.8724509852707008,0.7914055505819159,0.4386347246371498,0.8415793160081152,0.7914055505819159,0.4386347246371498,0.8415793160081152,0.001
1,3,0.43398396357320307,0.3827553635851656,0.8361683079677709,0.538835025351456,0.8583437002388534,0.7967770814682185,0.552076761446236,0.8606897884262391,0.7967770814682185,0.552076761446236,0.8606897884262391,0.001
1,4,0.4090620135503255,0.3846047668048283,0.8415398388540735,0.5598092568883535,0.8798707868895965,0.8021486123545211,0.6059400163960786,0.8821188774031494,0.8021486123545211,0.6059400163960786,0.8821188774031494,0.001
1,5,0.3837788542040566,0.36225787329428305,0.8466875559534467,0.5856469751516942,0.8986037851645434,0.8102059086839749,0.5014057779452231,0.8706827842720509,0.8102059086839749,0.5014057779452231,0.8706827842720509,0.001
1,6,0.38892819623703817,0.3822754649520454,0.8525067144136079,0.5709385863544212,0.893874402866242,0.8003581020590869,0.467802835152224,0.8499299584581199,0.8003581020590869,0.467802835152224,0.8499299584581199,0.001
1,7,0.384811832206849,0.3449926982661284,0.8574306177260519,0.6041883721808512,0.8950632795912951,0.8155774395702775,0.5397112488721733,0.8888090522654816,0.8155774395702775,0.5397112488721733,0.8888090522654816,0.001
1,8,0.3572423767061669,0.36000440026247404,0.8670546105640108,0.6242151052949683,0.9124436040339701,0.8012533572068039,0.4618760667333818,0.8591621582455802,0.8012533572068039,0.4618760667333818,0.8591621582455802,0.001
1,9,0.34206231705504225,0.31213011893451265,0.8753357206803939,0.6513339546710634,0.9225349572054141,0.8119964189794091,0.5709825828031715,0.8874565259395227,0.8119964189794091,0.5709825828031715,0.8874565259395227,0.0005
1,10,0.34016440980863444,0.28721878660931155,0.8744404655326768,0.6662485354226394,0.9194151406581741,0.8361683079677709,0.575598858500238,0.8991220655009178,0.8361683079677709,0.575598858500238,0.8991220655009178,0.0005
1,11,0.3374739528342668,0.3760364583911059,0.8742166517457476,0.6600852103936207,0.9217796244692145,0.7985675917636527,0.5019734821832232,0.8716669886967443,0.7985675917636527,0.5019734821832232,0.8716669886967443,0.0005
1,12,0.327151891207631,0.32348128826413286,0.8789167412712623,0.7011765640452907,0.926811305732484,0.8146821844225605,0.6154540262798348,0.8950222200753551,0.8146821844225605,0.6154540262798348,0.8950222200753551,0.0005
1,13,0.3385445570027924,0.29584798372901755,0.868845120859445,0.6597201643965733,0.9215718716825904,0.8397493285586393,0.6469751163043717,0.898777895855473,0.8397493285586393,0.6469751163043717,0.898777895855473,0.0005
1,14,0.3188903681006726,0.32061714994501833,0.8809310653536258,0.6969379379013543,0.9295618531050955,0.8164726947179947,0.5778565112325702,0.8876859723698193,0.8164726947179947,0.5778565112325702,0.8876859723698193,0.0005
1,15,0.32079798471426046,0.3538717505728014,0.8818263205013429,0.6875809320428493,0.9305454651008493,0.8084153983885407,0.5353299003671507,0.8780129939136315,0.8084153983885407,0.5353299003671507,0.8780129939136315,0.0005
1,16,0.3104732697737889,0.44620474433941615,0.881154879140555,0.7085167202725884,0.9333996815286625,0.7869292748433303,0.6804035817766324,0.9066092648053329,0.7869292748433303,0.6804035817766324,0.9066092648053329,0.0005
1,17,0.31073095076513163,0.3276490377013771,0.8771262309758281,0.6950900623336397,0.9327345408704883,0.8272157564905999,0.6428808493296639,0.8972744179306347,0.8272157564905999,0.6428808493296639,0.8972744179306347,0.0005
1,18,0.3090056342105302,0.5605312460698287,0.890107430617726,0.7166945517186203,0.933945810111465,0.7009847806624888,0.6234939149819877,0.8751811419186551,0.7009847806624888,0.6234939149819877,0.8751811419186551,0.0005
1,19,0.30842064559833215,0.3342536297112356,0.8831692032229186,0.7184371053504688,0.9349650842622081,0.8164726947179947,0.6346988762112157,0.8955656458313206,0.8164726947179947,0.6346988762112157,0.8955656458313206,0.0005
1,20,0.30809602426863614,0.32598553375810413,0.8856311548791406,0.7176207112872403,0.9355410695329087,0.8272157564905999,0.6018226768880559,0.8905117863008405,0.8272157564905999,0.6018226768880559,0.8905117863008405,0.0005
1,21,0.29459426802188665,0.31862536114086076,0.8923455684870188,0.7361251731287476,0.9412275245488323,0.8236347358997315,0.6600713820230587,0.9007281905129938,0.8236347358997315,0.6600713820230587,0.9007281905129938,0.00025
1,22,0.294910950888025,0.29962655129503113,0.8865264100268576,0.7229397770245944,0.9408800258757961,0.8272157564905999,0.6394077605863487,0.898294850739059,0.8272157564905999,0.6394077605863487,0.898294850739059,0.00025
1,23,0.2962043752815431,0.3153987900156364,0.8961504028648165,0.7346090702792354,0.9398837662553079,0.8227394807520143,0.6425540029684303,0.897316684378321,0.8227394807520143,0.6425540029684303,0.897316684378321,0.00025
1,24,0.2925752817170366,0.30380434690305136,0.8865264100268576,0.7326865283133025,0.9415385317144375,0.8370635631154879,0.7336733437529414,0.9192650468553764,0.8370635631154879,0.7336733437529414,0.9192650468553764,0.00025
1,25,0.29726733786246556,0.3176649444425544,0.8918979409131602,0.7336119840225421,0.9401025079617836,0.8263205013428827,0.6762568989443684,0.8975159404888416,0.8263205013428827,0.6762568989443684,0.8975159404888416,0.00025
1,26,0.2874217108625755,0.31763068687307483,0.8914503133393017,0.738234169352368,0.9440050258757962,0.8137869292748433,0.6104204992191897,0.8907774611148681,0.8137869292748433,0.6104204992191897,0.8907774611148681,0.00025
1,27,0.28463778969637493,0.3268048665223638,0.8854073410922113,0.7398835208635628,0.9441004014065817,0.8236347358997315,0.6453565829562925,0.9043087624384117,0.8236347358997315,0.6453565829562925,0.9043087624384117,0.00025
1,28,0.2883434873024267,0.34572248082798085,0.8833930170098478,0.7442293528015099,0.943545979299363,0.8173679498657117,0.6046142563214804,0.8909404888416579,0.8173679498657117,0.6046142563214804,0.8909404888416579,0.00025
1,29,0.2861800101204653,0.313887371745831,0.8887645478961504,0.7576397940904905,0.9448493066613587,0.8442256042972247,0.6202185151172707,0.8950584484590861,0.8442256042972247,0.6202185151172707,0.8950584484590861,0.000125
1,30,0.2907344124204043,0.33874694388042953,0.8934646374216652,0.7296137047938429,0.9425731488853503,0.8263205013428827,0.6124906513073364,0.8917737416674718,0.8263205013428827,0.6124906513073364,0.8917737416674718,0.000125
1,31,0.2893097784333498,0.29873085043317205,0.8894359892569382,0.7392956264544186,0.94279914742569,0.8254252461951657,0.6272204662724425,0.8972019611631725,0.8254252461951657,0.6272204662724425,0.8972019611631725,0.000125
1,32,0.277331275900454,0.3189747305645298,0.8954789615040286,0.7504273368533886,0.9479597929936306,0.8290062667860341,0.6194461785581615,0.8997560622162109,0.8290062667860341,0.6194461785581615,0.8997560622162109,0.000125
1,33,0.28529560507250984,0.32369775960727154,0.8896598030438675,0.7589637344437874,0.9447325753052017,0.8299015219337511,0.641507579906951,0.904665008211767,0.8299015219337511,0.641507579906951,0.904665008211767,6.25e-05
1,34,0.2702975438552556,0.3326726654809612,0.8952551477170994,0.7746761767831805,0.9498888667728237,0.8299015219337511,0.6010613405190177,0.8907291566032267,0.8299015219337511,0.6010613405190177,0.8907291566032267,6.25e-05
2,1,0.48811803820843985,0.6738130059643526,0.7902864816472694,0.4380870718754237,0.8302606920841344,0.756490599820949,0.49984618852388263,0.8699406746937199,0.756490599820949,0.49984618852388263,0.8699406746937199,0.001
2,2,0.41874069487717713,0.7014235505165537,0.8236347358997315,0.5246342139967427,0.874559384375051,0.6016114592658908,0.5245654250140311,0.8448649091398415,0.6016114592658908,0.5245654250140311,0.8448649091398415,0.001
2,3,0.39847568581973003,0.3674082415730375,0.8350492390331244,0.5569101978935198,0.888552344571151,0.8504923903312444,0.5669786459892104,0.9029498835726237,0.8504923903312444,0.5669786459892104,0.9029498835726237,0.001
2,4,0.3759786867625818,0.32575470596825373,0.8435541629364369,0.5769477572392221,0.9007922604853019,0.8549686660698299,0.5174189634973654,0.8893120838745158,0.8549686660698299,0.5174189634973654,0.8893120838745158,0.001
2,5,0.3663276174608468,0.331831537451405,0.8381826320501343,0.6097190687733589,0.9057202906503887,0.8630259623992838,0.623291725166754,0.91320602380033,0.8630259623992838,0.623291725166754,0.91320602380033,0.001
2,6,0.3522105415751065,0.3738452751465032,0.869740376007162,0.6357997892061565,0.9131497994756773,0.9042076991942704,0.6345184260348926,0.9070511695393221,0.9042076991942704,0.6345184260348926,0.9070511695393221,0.001
2,7,0.35308556737596686,0.36687700302175835,0.8605640107430618,0.6288400757819651,0.9119107805944527,0.8692927484333035,0.6040896039073372,0.904079053603398,0.8692927484333035,0.6040896039073372,0.904079053603398,0.001
2,8,0.34206936918632624,0.30887244238902545,0.859892569382274,0.6664172092769427,0.9182682869350063,0.8710832587287377,0.6143747387508685,0.8973215852845158,0.8710832587287377,0.6143747387508685,0.8973215852845158,0.001
2,9,0.377086464165574,0.33926075756976726,0.8589973142345568,0.6508873396492544,0.9002991644575714,0.8773500447627574,0.6188929661280129,0.9215490106598332,0.8773500447627574,0.6188929661280129,0.9215490106598332,0.001
2,10,0.37470065245376494,0.46802577499096804,0.8632497761862131,0.6415582415843886,0.9010563891724819,0.8030438675022381,0.613263132692895,0.9063315430430255,0.8030438675022381,0.613263132692895,0.9063315430430255,0.001
2,11,0.3509596573954303,0.30142808052892117,0.8666069829901522,0.6730985827058178,0.9129639466434938,0.8889883616830797,0.6388161102021918,0.9214027451118053,0.8889883616830797,0.6388161102021918,0.9214027451118053,0.0005
2,12,0.3139466591839718,0.32841068600936424,0.8708594449418084,0.7113672505317121,0.9318447526085324,0.864816472694718,0.6017637683002053,0.901580838043084,0.864816472694718,0.6017637683002053,0.901580838043084,0.0005
2,13,0.30876245290281096,0.32481951452624935,0.8813786929274844,0.719895252958825,0.9350201570791302,0.8710832587287377,0.6204803249636294,0.9112987210540481,0.8710832587287377,0.6204803249636294,0.9112987210540481,0.0005
2,14,0.3007165236780445,0.30524295953460095,0.8863025962399284,0.7150425732332858,0.9377455800303643,0.8880931065353626,0.6231210401775503,0.9137618328828354,0.8880931065353626,0.6231210401775503,0.9137618328828354,0.0005
2,15,0.29755187047947274,0.31215298127911606,0.885183527305282,0.7294726092577768,0.9391673123378235,0.8764547896150403,0.6290277218901996,0.9098945717929816,0.8764547896150403,0.6290277218901996,0.9098945717929816,0.0005
2,16,0.2844242073375408,0.3143006651428834,0.8869740376007162,0.7477543601506097,0.9447050151382155,0.8746642793196061,0.6025353475231883,0.9088707129567872,0.8746642793196061,0.6025353475231883,0.9088707129567872,0.00025
2,17,0.28217517929410124,0.3400723843584329,0.8865264100268576,0.7565741060073834,0.944980445686812,0.8513876454789615,0.6056670437260451,0.9028270205122805,0.8513876454789615,0.6056670437260451,0.9028270205122805,0.00025
2,18,0.2756017283765781,0.34514201410413253,0.890107430617726,0.7624830052627753,0.9482759847583933,0.8424350940017905,0.5821778646640181,0.8961690127660569,0.8424350940017905,0.5821778646640181,0.8961690127660569,0.00025
2,19,0.2843570270864902,0.325396574618655,0.8849597135183527,0.762140973102711,0.9441081094204363,0.8531781557743957,0.6000978032108129,0.8986145727290811,0.8531781557743957,0.6000978032108129,0.8986145727290811,0.00025
2,20,0.2757148121549492,0.32187133450678074,0.8863025962399284,0.7638423762782156,0.9468900416787533,0.8773500447627574,0.6046448159391372,0.9014930787142673,0.8773500447627574,0.6046448159391372,0.9014930787142673,0.000125
2,21,0.2732668722860495,0.3414531026251077,0.889212175470009,0.7579538941740633,0.9478460954371036,0.8585496866606983,0.5734406185339406,0.8941212950936683,0.8585496866606983,0.5734406185339406,0.8941212950936683,0.000125
3,1,0.4809265197817513,0.340749497434096,0.7887197851387645,0.4529959376678648,0.8409690354743449,0.846911369740376,0.572250761492979,0.8738550197148924,0.846911369740376,0.572250761492979,0.8738550197148924,0.001
3,2,0.4082807329422465,0.34710447792374033,0.8294538943598926,0.5294867053103042,0.882048145321363,0.8182632050134289,0.6141164231378957,0.8681528662420382,0.8182632050134289,0.6141164231378957,0.8681528662420382,0.001
3,3,0.3981244957329657,0.3501602861773466,0.8446732318710832,0.5288017927035886,0.8886778692947579,0.8719785138764548,0.5893871556295903,0.8076797088262057,0.8719785138764548,0.5893871556295903,0.8076797088262057,0.001
3,4,0.4126823995138986,0.38344620349637715,0.8442256042972247,0.5713092803322806,0.8795141156509773,0.8209489704565801,0.5739399035334681,0.8028389444949955,0.8209489704565801,0.5739399035334681,0.8028389444949955,0.001
3,5,0.41638125742026066,0.3660791696398623,0.849373321396598,0.5478061786025159,0.8775635878282095,0.8066248880931065,0.5989879264343299,0.8305156202608431,0.8066248880931065,0.5989879264343299,0.8305156202608431,0.001
3,6,0.41602465642437725,0.3493753493886071,0.8446732318710832,0.5418234665977683,0.8755973232629225,0.8316920322291853,0.5864004755426678,0.8416621170761298,0.8316920322291853,0.5864004755426678,0.8416621170761298,0.001
3,7,0.4051098950814219,0.3531907169463491,0.8560877350044763,0.5542941144035535,0.881724299725311,0.864816472694718,0.5919996530272703,0.8288565362450713,0.864816472694718,0.5919996530272703,0.8288565362450713,0.0005
3,8,0.38195861789298674,0.38030686306174355,0.8504923903312444,0.596767621126879,0.8982988167211999,0.8093106535362579,0.5563478567004008,0.8082104943888384,0.8093106535362579,0.5563478567004008,0.8082104943888384,0.0005
3,9,0.37419575989086284,0.35854022849881445,0.8516114592658908,0.5780769257339803,0.9017484763313182,0.8406445837063563,0.5673380574142769,0.8280194115862907,0.8406445837063563,0.5673380574142769,0.8280194115862907,0.0005
3,10,0.37528513319917095,0.3663427723319859,0.8572068039391226,0.582076721379254,0.9017207299695079,0.8299015219337511,0.5588055136367719,0.7954322111010009,0.8299015219337511,0.5588055136367719,0.7954322111010009,0.0005
3,11,0.3786393601177202,0.36846475714055577,0.8560877350044763,0.599442693644986,0.9005222527892341,0.8146821844225605,0.5560271787724483,0.7980315438277222,0.8146821844225605,0.5560271787724483,0.7980315438277222,0.00025
3,12,0.37774180957752357,0.3262041358472304,0.859892569382274,0.6015573672054396,0.9002323654270394,0.8451208594449419,0.6036886059210379,0.8709250834091599,0.8451208594449419,0.6036886059210379,0.8709250834091599,0.00025
4,1,0.4708866227281446,0.4591765021413378,0.7853625783348255,0.49903436965097425,0.8487037846878572,0.7457475380483438,0.668614151507078,0.8701701911808435,0.7457475380483438,0.668614151507078,0.8701701911808435,0.001
4,2,0.435690797912082,0.37342182871691326,0.8088630259623992,0.5201679714103316,0.8659738685448171,0.7699194270367055,0.6834709703419748,0.8329835056234804,0.7699194270367055,0.6834709703419748,0.8329835056234804,0.001
4,3,0.4146750491435974,0.3019705625482724,0.8220680393912265,0.555693512963042,0.8816765254217783,0.8406445837063563,0.620089865392872,0.8651938920081861,0.8406445837063563,0.620089865392872,0.8651938920081861,0.001
4,4,0.40767250521543735,0.30497481840043167,0.8184870188003581,0.5714271718145972,0.883929845558957,0.8272157564905999,0.6819984296614898,0.8810498329572686,0.8272157564905999,0.6819984296614898,0.8810498329572686,0.001
4,5,0.4039268097711015,0.24330766880242763,0.8290062667860341,0.5736071807422599,0.8861942903614365,0.9391226499552372,0.7258623870304044,0.8833062216858197,0.9391226499552372,0.7258623870304044,0.8833062216858197,0.001
4,6,0.3949739267597694,0.8781843170483622,0.8381826320501343,0.5901492322866377,0.8917619935400221,0.2873769024171889,0.5116053378047013,0.8552150565846321,0.2873769024171889,0.5116053378047013,0.8552150565846321,0.001
4,7,0.42687404411865754,0.2933797294619154,0.8283348254252462,0.5656685394651109,0.8733103935062644,0.8692927484333035,0.6151601669860122,0.8242465585699044,0.8692927484333035,0.6151601669860122,0.8242465585699044,0.001
4,8,0.40737802235804826,0.3845923009362729,0.8341539838854073,0.5771847050897816,0.883200988177166,0.8370635631154879,0.6098048870153376,0.8249724510678491,0.8370635631154879,0.6098048870153376,0.8249724510678491,0.001
4,9,0.4009852592925889,0.3085068682793965,0.8343777976723367,0.5712092937275123,0.8881602872465303,0.8442256042972247,0.635824005016068,0.8444666001994018,0.8442256042972247,0.635824005016068,0.8444666001994018,0.001
4,10,0.39082330459980635,0.31050981775980074,0.8274395702775291,0.6206761345710645,0.8946496114039328,0.8549686660698299,0.6189880345354685,0.8360444980846932,0.8549686660698299,0.6189880345354685,0.8360444980846932,0.0005
4,11,0.359855064800411,0.31268740101861653,0.8341539838854073,0.6664409270303233,0.9110924421325599,0.8316920322291853,0.6213982275533539,0.8606461317800983,0.8316920322291853,0.6213982275533539,0.8606461317800983,0.0005
4,12,0.3666985334033078,0.3148170121034129,0.8424350940017905,0.6502172283963832,0.907350718499935,0.8254252461951657,0.669631944065048,0.8547515348690771,0.8254252461951657,0.669631944065048,0.8547515348690771,0.0005
4,13,0.36570039176738145,0.29876903940122257,0.8453446732318711,0.6752342069123963,0.9078965943179814,0.8576544315129812,0.6323533671358896,0.848375924857008,0.8576544315129812,0.6323533671358896,0.848375924857008,0.0005
4,14,0.3581451402381796,0.2834437196689092,0.85183527305282,0.6682784164822779,0.9119141329282422,0.855863921217547,0.6617472686134036,0.865333823092127,0.855863921217547,0.6617472686134036,0.865333823092127,0.00025
4,15,0.35073992047015323,0.2963259573108721,0.8542972247090421,0.6989586791975051,0.9160839643703823,0.8352730528200537,0.645293265949785,0.8607598257858006,0.8352730528200537,0.645293265949785,0.8607598257858006,0.00025
5,1,0.47882007949567845,0.26061269644257634,0.8066248880931065,0.4803126012643361,0.8391846034516193,0.8719785138764548,0.514199582466178,0.9091758051175325,0.8719785138764548,0.514199582466178,0.9091758051175325,0.001
5,2,0.45569057534503,0.33801695879218613,0.8290062667860341,0.5102085636733293,0.8549483711460151,0.8854073410922113,0.6303119192532486,0.8984164465433976,0.8854073410922113,0.6303119192532486,0.8984164465433976,0.001
5,3,0.46306329245213,0.27656321395638805,0.8243061772605192,0.5093955847779164,0.8377940986361578,0.8907788719785139,0.5147849044803277,0.9147522612663092,0.8907788719785139,0.5147849044803277,0.9147522612663092,0.001
5,4,0.43654738106467195,0.29291154114711254,0.8357206803939122,0.5381041669331289,0.8627064346196108,0.8764547896150403,0.6002185039633959,0.9080351663598282,0.8764547896150403,0.6002185039633959,0.9080351663598282,0.001
5,5,0.44402913777232705,0.25989804089389534,0.8307967770814683,0.5192764262973523,0.8615413515609849,0.9015219337511191,0.6395307215803951,0.9247445235998826,0.9015219337511191,0.6395307215803951,0.9247445235998826,0.001
5,6,0.4394700800934965,0.2565859011178478,0.8379588182632051,0.5385889550765255,0.8614399521685734,0.9015219337511191,0.6809775687044177,0.9325288828410576,0.9015219337511191,0.6809775687044177,0.9325288828410576,0.001
5,7,0.40698195827146033,0.5584394862356736,0.8482542524619516,0.5724461470587209,0.8853972755477991,0.657117278424351,0.32162195566873997,0.7303023026228022,0.657117278424351,0.32162195566873997,0.7303023026228022,0.001
5,8,0.4048024450387929,0.39636919257250236,0.8413160250671441,0.6149321903238667,0.8820692747721544,0.8701880035810206,0.6231046964035905,0.8525707729661944,0.8701880035810206,0.6231046964035905,0.8525707729661944,0.001
5,9,0.3898308885182882,0.22778365900448208,0.8480304386750224,0.6248718490385808,0.8939305797944542,0.8836168307967771,0.624379976277341,0.9361976039915686,0.8836168307967771,0.624379976277341,0.9361976039915686,0.001
5,10,0.3978825462590186,0.38462723899656037,0.8549686660698299,0.6091283769290798,0.8879205448904401,0.8943598925693823,0.6241578322628324,0.818431655060167,0.8943598925693823,0.6241578322628324,0.818431655060167,0.001
5,11,0.3758894026332811,0.22932151357510736,0.8460161145926589,0.627081298661665,0.9020566705448905,0.900626678603402,0.6985024803147996,0.9337762480322315,0.900626678603402,0.6985024803147996,0.9337762480322315,0.0005
5,12,0.33857533136914647,0.2667069345605939,0.8670546105640108,0.6917497066041977,0.9219261036778489,0.9024171888988362,0.6209996080707607,0.8951412791163051,0.9024171888988362,0.6209996080707607,0.8951412791163051,0.0005
5,13,0.3331708458778361,0.2635056062692388,0.8677260519247986,0.6967129824781191,0.9250210070454399,0.8988361683079678,0.5851610501846156,0.9136783265295232,0.8988361683079678,0.5851610501846156,0.9136783265295232,0.0005
5,14,0.3292864463296231,0.27616233658795925,0.8760071620411818,0.703233820486167,0.9241722416133412,0.891674127126231,0.5624764795210864,0.8933602817577844,0.891674127126231,0.5624764795210864,0.8933602817577844,0.0005
5,15,0.3437285600972154,0.27095886977221034,0.8663831692032229,0.6859479809045388,0.9187996897420981,0.88272157564906,0.593473549038089,0.9123309053069719,0.88272157564906,0.593473549038089,0.9123309053069719,0.0005
5,16,0.3334148811408208,0.2796495540155933,0.8681736794986571,0.7035676824451028,0.924217689548187,0.9033124440465533,0.6127238655149622,0.8828210464526802,0.9033124440465533,0.6127238655149622,0.8828210464526802,0.00025
5,17,0.3259161487822033,0.23451243736843713,0.8746642793196061,0.7194211264152182,0.9268150895223319,0.9149507609668756,0.6553390358519553,0.9245777635475867,0.9149507609668756,0.6553390358519553,0.9245777635475867,0.00025
5,18,0.3167088998943541,0.2591507868139255,0.876230975828111,0.7386890692505921,0.9316236830198437,0.9051029543419875,0.6000583858182881,0.9087288881773793,0.9051029543419875,0.6000583858182881,0.9087288881773793,0.00025
5,19,0.3083389784303646,0.23493909710082714,0.8800358102059087,0.7292912961527683,0.9354017193458728,0.8997314234556849,0.7074267418766431,0.9275260812721791,0.8997314234556849,0.7074267418766431,0.9275260812721791,0.00025
5,20,0.31035291369514156,0.25838917637895875,0.8769024171888988,0.7261454417549933,0.9349335046215499,0.8979409131602507,0.6422143035516809,0.8947277141866112,0.8979409131602507,0.6422143035516809,0.8947277141866112,0.00025
5,21,0.31314452647522506,0.24847877492516193,0.8748880931065354,0.7313436068525652,0.9334339247624588,0.8979409131602507,0.6279434342565906,0.9137850529629926,0.8979409131602507,0.6279434342565906,0.9137850529629926,0.00025
5,22,0.31928800890887543,0.24074943334651291,0.871307072515667,0.7258667920732362,0.9300550222997865,0.8988361683079678,0.6114994695864617,0.9199751861042185,0.8988361683079678,0.6114994695864617,0.9199751861042185,0.00025
5,23,0.314102979315213,0.24405794452639062,0.8681736794986571,0.7175392642035341,0.9308561178980027,0.9033124440465533,0.6312334355394379,0.9168734491315137,0.9033124440465533,0.6312334355394379,0.9168734491315137,0.00025
5,24,0.2975807015182936,0.23824101750511298,0.8829453894359892,0.7535028841661885,0.9402713140714886,0.8997314234556849,0.6327719997434995,0.9221230555777902,0.8997314234556849,0.6327719997434995,0.9221230555777902,0.000125
5,25,0.3012265762582675,0.24829599518418952,0.8845120859444942,0.7474277275972893,0.9393247850817659,0.900626678603402,0.6177655874059558,0.9130513087328904,0.900626678603402,0.6177655874059558,0.9130513087328904,0.000125
