fold,epoch,train_loss,val_loss,val_cl_acc,val_br_acc,val_pr_auc,pos_cl_acc,pos_br_acc,pos_pr_auc,lr
1,1,0.08187512858207631,0.016309803880868185,0.9966183346715156,0.9997638501865583,0.9999457012111075,0.9966183346715156,0.9997638501865583,0.9999457012111075,0.001
1,2,0.022316064313860136,0.011819214449976967,0.9980446795447031,0.999914986067161,0.999963069857724,0.9980446795447031,0.999914986067161,0.999963069857724,0.001
1,3,0.015068744220805425,0.007675104168896296,0.9981108014924668,0.999574930335805,0.9999894900333783,0.9981108014924668,0.999574930335805,0.9999894900333783,0.001
1,4,0.012661523450673172,0.006081611117898599,0.9986397770745761,0.9999527700373116,0.999987640738794,0.9986397770745761,0.9999527700373116,0.999987640738794,0.001
1,5,0.010801413224371455,0.006236552097997776,0.9979407736267888,0.9997921881641714,0.9999893152925385,0.9979407736267888,0.9997921881641714,0.9999893152925385,0.001
1,6,0.007581592092059397,0.005095902441172488,0.9985453171491995,0.9999622160298494,0.9999926740873105,0.9985453171491995,0.9999622160298494,0.9999926740873105,0.0005
1,7,0.006289877148625791,0.0025848709279997165,0.9996127143059557,0.999688282246257,0.999998323000147,0.9996127143059557,0.999688282246257,0.999998323000147,0.0005
1,8,0.006178162230003934,0.0019120481780106114,0.999744958201483,0.9998677561044726,0.9999975185685446,0.999744958201483,0.9998677561044726,0.9999975185685446,0.0005
1,9,0.005833393977647024,0.00441040518995282,0.9991687526566854,0.9999055400746233,0.9999926053798929,0.9991687526566854,0.9999055400746233,0.9999926053798929,0.0005
1,10,0.004491102593418451,0.0015880300834884631,0.9996788362537193,0.9999622160298494,0.9999978359340875,0.9996788362537193,0.9999622160298494,0.9999978359340875,0.00025
1,11,0.004517485429537094,0.0008873209588897208,0.9997827421716337,0.9999338780522363,0.9999996792854089,0.9997827421716337,0.9999338780522363,0.9999996792854089,0.00025
1,12,0.004314297638698178,0.0009041004676864052,0.9998394181268597,0.9999244320596987,0.9999996635819517,0.9998394181268597,0.9999244320596987,0.9999996635819517,0.00025
1,13,0.0037835436297784723,0.001985392497196958,0.9996221602984934,0.999858310111935,0.9999968818918703,0.9996221602984934,0.999858310111935,0.9999968818918703,0.00025
