fold,epoch,train_loss,val_loss,val_cl_acc,val_br_acc,val_pr_auc,pos_cl_acc,pos_br_acc,pos_pr_auc,neg_cl_acc,neg_br_acc,neg_pr_auc,lr
1,1,0.062002802976273995,0.1183986166895502,0.9932446999640675,0.9928710025152713,0.9992486838360499,0.9956481927255907,0.9967809842069988,0.9992358923655387,0.9855796730589759,0.9804016015895475,0.9990078275845584,0.01
1,2,0.029105565674231906,0.11549943608253137,0.9887747035573122,0.9915343154868846,0.999248238064238,0.9944021220960418,0.9956670725836142,0.9994571475391603,0.9708281903844417,0.9783544570551224,0.9977936214247791,0.01
1,3,0.025437718188284515,0.21744855090666432,0.9894143011139058,0.9892058929213079,0.9987136983499395,0.9926274154418359,0.9936563677041149,0.999212225033821,0.9791672938555559,0.9750127946533401,0.9967101288092417,0.01
1,4,0.020917528839472194,0.2549208299912285,0.9888681279195113,0.9900035932447,0.9989128675111323,0.9930994118924226,0.9944210019540654,0.9992178999050705,0.9753740554535328,0.9759159466538219,0.9973568027041524,0.01
1,5,0.020983866750669475,0.2714803716673694,0.9878332734459216,0.9889040603665109,0.9982686579455224,0.9922403783523548,0.9935053288399271,0.9989756678285454,0.9737784869193485,0.9742300629195894,0.9951735423418189,0.01
1,6,0.009929086163774787,0.27773615492790843,0.9878763923823213,0.989292130794107,0.9980967998679888,0.9921365391332257,0.9943926821670301,0.9987648432494116,0.9742902730529548,0.9730258602522804,0.9951257728937508,0.005
1,7,0.00983969673774105,0.41774124789387923,0.9873589651455265,0.989701760689903,0.9977999413463681,0.9922026186363079,0.9942982828769128,0.9985734661325609,0.9719119727850197,0.9750428997200229,0.9944200087072897,0.005
1,8,0.0091821078222603,0.3536451243861666,0.9868918433345311,0.9865109593963349,0.9980146588002851,0.992448056790613,0.9922214984943313,0.9986094956669086,0.969172411716892,0.968299364783093,0.99500239801626,0.005
1,9,0.008784178773085478,0.31308175301992985,0.9873517786561264,0.9884872439813152,0.9976547099414557,0.9922781380684017,0.9942038835867955,0.9986917220714199,0.9716410271848752,0.97025619411747,0.9932869947147782,0.005
1,10,0.005829928362901883,0.27476984640899227,0.9882788357887172,0.9911318720804887,0.9986362515964105,0.9926274154418359,0.9961862686792595,0.9991623361067998,0.9744106933196857,0.9750127946533401,0.9960490693207871,0.0025
1,11,0.006330119335400449,0.37790368807429714,0.9870140136543298,0.9908372260150916,0.997673841473611,0.991702302398686,0.9958936308798958,0.9988281626904729,0.9720624981184334,0.974711743986513,0.9930611968591316,0.0025
2,1,0.05864583285839069,0.05562652689562949,0.9897160597632754,0.9938411343236387,0.9996743162066846,0.9893927140734611,0.9951195200391191,0.99964190664966,0.9907641661840461,0.9896973206937544,0.999787955543423,0.01
2,2,0.03209878678288673,0.0785692133539796,0.990053827192434,0.9913761507448849,0.999547626383457,0.9902296364559628,0.992082150044197,0.9995314378977341,0.989483951595696,0.989087694699302,0.9996033811875046,0.01
2,3,0.024606373854266405,0.08138795211362877,0.988235632307814,0.9954509195179269,0.9996079928084354,0.9865528201463204,0.9951665381504956,0.9995516926034174,0.9936903709574176,0.9963727253330082,0.9997597875267603,0.01
2,4,0.023394362821062765,0.08534269458457418,0.9920660586852942,0.9921666702599372,0.9994934869615109,0.9908690827706833,0.9931165484944801,0.9994659663790713,0.9959459871368915,0.989087694699302,0.9995592173413888,0.01
2,5,0.024303720785770363,0.1263305934684144,0.9913474045807013,0.992482878065958,0.9991077747512827,0.9907186248142784,0.9936243440973463,0.9991564341239227,0.9933855579601915,0.9887828817020757,0.9989571926074801,0.01
2,6,0.010794254789688115,0.1285481351100991,0.9915701873531251,0.9938195747005009,0.9989531553543535,0.9905681668578736,0.9947809896372083,0.9987276585632112,0.9948181790471545,0.9907032035846008,0.9997091547248209,0.005
2,7,0.008406542212499068,0.11542907252895233,0.9898238578789643,0.9953790541074675,0.9992035035283948,0.9886216170468864,0.995401628707378,0.9990748343749465,0.9937208522571402,0.9953058798427165,0.9996400104992282,0.005
2,8,0.008915409343565835,0.1401915951522861,0.9922744683756262,0.9955587176336158,0.9989594246765605,0.9914615109740272,0.9955520866637829,0.9987862166113177,0.9949096229463225,0.99558021154022,0.9995628351773895,0.005
2,9,0.009052805487462276,0.18703879073393354,0.9909018390358536,0.9950412866783088,0.9986047818671875,0.9899099132986027,0.9954674540633052,0.9985018116701141,0.9941171091535344,0.993659889657695,0.9989579705591249,0.005
2,10,0.0070579720844939865,0.1521825601140828,0.9900394541103421,0.9942292075401189,0.9990260287265498,0.9888943220928702,0.9943860375016457,0.99905996440244,0.9937513335568628,0.9937208522571402,0.9989406607167407,0.0025
2,11,0.005938102370614165,0.21893076505559297,0.9896657539759538,0.9946532134618287,0.998239091340551,0.9890165691824491,0.9948750258599612,0.9980238136942509,0.9917700490748925,0.9939342213551986,0.9989699237944291,0.0025
3,1,0.05972754702817257,0.04417593434283835,0.9915198815658036,0.9951993905813193,0.9998457673446355,0.9916649341321893,0.9953694078512162,0.9998594677558881,0.9910593741561909,0.9946596261738322,0.9998047189270017,0.01
3,2,0.03295115029597434,0.0767033915298072,0.9906287504761083,0.9914120834501147,0.9995563998494277,0.9914570299948969,0.991929539397834,0.9995957509673612,0.9879991599411959,0.9897692838498695,0.9994165634226995,0.01
3,3,0.02703435202124606,0.07339512789023002,0.9918217162897326,0.9942795133274404,0.9997625978767688,0.9914381296187794,0.9940841822752273,0.9997564872896014,0.9930395127658936,0.9948996429750082,0.9997859827459625,0.01
3,4,0.02259816267979624,0.11661457309122636,0.989852604043148,0.994308259491624,0.9995469607903671,0.9905592621293163,0.9939518796424048,0.9995907682578529,0.9876091326392847,0.9954396807776544,0.9994035400764167,0.01
3,5,0.0213612991926951,0.07371832728237324,0.9913905238269768,0.9950341001372629,0.9995734408110954,0.991012871156136,0.994462189797577,0.9996643587091041,0.9925894812636885,0.9968497794845639,0.9992443342254667,0.01
3,6,0.010707833350060366,0.06178761387071803,0.9925834896406011,0.9964785948874947,0.9997709499525619,0.9923642480485362,0.9962010244003856,0.9997829470091287,0.9932795295670697,0.9973598151870631,0.9997214144656015,0.005
3,7,0.009545290460384303,0.08180120330271039,0.9928853243645301,0.9961336409172901,0.9996629103031738,0.9924587499291236,0.9957663157496834,0.9996719036826888,0.994239596771774,0.9972998109867691,0.9996216572887036,0.005
3,8,0.009017145483389631,0.07596198382952686,0.9925475569353714,0.9959683504732337,0.9997612323846907,0.9921941446634788,0.9957379651855072,0.9997541667383907,0.9936695568689808,0.9966997689838288,0.9997930801061484,0.005
3,9,0.008023100429295583,0.09122807502496529,0.9934889938123882,0.996047402424739,0.9996221181441208,0.9934037687349978,0.9958230168780359,0.9997038911410018,0.9937595631694218,0.9967597731841229,0.9993833164377757,0.005
3,10,0.004848813553524081,0.09386153910034399,0.9928134589540708,0.9949622347268037,0.9996558250158212,0.9926950046305921,0.9944810901736945,0.9996606517801438,0.9931895232666287,0.9964897542827998,0.9996344451810941,0.0025
3,11,0.005096737230059401,0.10835024581433629,0.9918576489949622,0.994926302021574,0.9995749378103455,0.991560982063543,0.9947740460035155,0.999590683208487,0.9927994959647175,0.9954096786775074,0.9995142691562746,0.0025
4,1,0.059606706732105,0.06016680574278483,0.9922026029651668,0.9938411343236387,0.999707000974516,0.9941645557744629,0.9967539168777559,0.9999262874455161,0.9857796615375165,0.9843054147854664,0.9985141742159634,0.01
4,2,0.030695048843603797,0.061422476560894786,0.9920948048494779,0.9959252312269582,0.9997018060934151,0.9946148794446008,0.9979547799981237,0.999905776293524,0.9838447126754507,0.9892809975736355,0.9987210767357761,0.01
4,3,0.025403955600742933,0.0740020833942396,0.9891555095616928,0.9952209502044571,0.99963608076027,0.991790974763111,0.9975701285298808,0.9998614807334636,0.9805276574833379,0.9875303295555761,0.9985152886246471,0.01
4,4,0.023298069382160603,0.09495619442038923,0.989349546169933,0.9957599407829018,0.9993814694372049,0.9922975888920161,0.9977577633924383,0.9997460122623543,0.9796983936853098,0.9892195706256335,0.9978670075889629,0.01
