fpr,tpr
0.0,0.0
0.0,0.0011933174224343676
0.0,0.007159904534606206
0.0,0.00954653937947494
0.0,0.011933174224343675
0.0004734848484848485,0.011933174224343675
0.0004734848484848485,0.01909307875894988
0.0004734848484848485,0.02386634844868735
0.0004734848484848485,0.028639618138424822
0.0004734848484848485,0.031026252983293555
0.0004734848484848485,0.03341288782816229
0.000946969696969697,0.03341288782816229
0.000946969696969697,0.03699284009546539
0.000946969696969697,0.03937947494033413
0.000946969696969697,0.0477326968973747
0.000946969696969697,0.05250596658711217
0.000946969696969697,0.05489260143198091
0.000946969696969697,0.05847255369928401
0.000946969696969697,0.060859188544152745
0.000946969696969697,0.07040572792362769
0.000946969696969697,0.07398568019093078
0.000946969696969697,0.07875894988066826
0.000946969696969697,0.07995226730310262
0.000946969696969697,0.08472553699284009
0.0014204545454545455,0.08472553699284009
0.0014204545454545455,0.08711217183770883
0.0023674242424242425,0.08711217183770883
0.0023674242424242425,0.08949880668257756
0.0023674242424242425,0.09307875894988067
0.002840909090909091,0.09307875894988067
0.002840909090909091,0.10143198090692124
0.002840909090909091,0.10381861575178998
0.002840909090909091,0.11217183770883055
0.002840909090909091,0.11694510739856802
0.002840909090909091,0.11813842482100238
0.002840909090909091,0.12052505966587113
0.002840909090909091,0.12649164677804295
0.002840909090909091,0.1288782816229117
0.002840909090909091,0.13365155131264916
0.002840909090909091,0.1360381861575179
0.002840909090909091,0.13723150357995226
0.002840909090909091,0.14200477326968974
0.002840909090909091,0.1431980906921241
0.002840909090909091,0.15274463007159905
0.0033143939393939395,0.15274463007159905
0.0033143939393939395,0.1575178997613365
0.003787878787878788,0.1575178997613365
0.003787878787878788,0.18138424821002386
0.003787878787878788,0.18496420047732698
0.003787878787878788,0.1873508353221957
0.003787878787878788,0.18973747016706444
0.003787878787878788,0.19331742243436753
0.003787878787878788,0.1957040572792363
0.003787878787878788,0.2016706443914081
0.003787878787878788,0.2052505966587112
0.003787878787878788,0.20763723150357996
0.003787878787878788,0.2100238663484487
0.003787878787878788,0.2315035799522673
0.004261363636363636,0.2315035799522673
0.004261363636363636,0.23269689737470167
