SMILES,Pollutant_Type,Shared_Label
CC(C)C1=C2C3CCC4C5(C)CCC(OC(=O)CC(C)(C)C(N)=O)C(C)(C)C5CCC4(C)C3(C)CCC2(CCNCc2ccc(Cl)cc2CN(C)C)CC1=O,Pharmaceuticals,1
CC(C)C1=C2C3CCC4C5(C)CCC(OCCC(C)(C)C(=O)O)C(C)(C)C5CCC4(C)C3(C)CCC2(C(O)CNC(C)c2ccc(Cl)cn2)CC1=O,Pharmaceuticals,0
CC(C)C[C@@H](CN(C)C)N(Cc1cccc(CN2OC(/C=C/O)[C@@H]([C@H](C)O)[C@H]2C(=O)N[C@H]2C[C@H]3C4[C@H](C3(C)C)[C@]42C)c1)Cc1c(F)cccc1Cl,Pharmaceuticals,0
CC(C)c1cc(C(C)C)c([Si](c2ccc(Cl)cc2)=[Si](c2c(C(C)C)cc(C(C)C)cc2C(C)C)c2c(C(C)C)cc(C(C)C)cc2C(C)C)c(C(C)C)c1,Industry and consumer goods,0
CC(O)(C(=O)Nc1ccc(C(=O)Nc2ccc(I)c(Cl)c2)cc1Cl)C(F)(F)F,Pharmaceuticals,0
CC1(Br)CS(=O)[C@H]2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)OCC(Cl)(Cl)Cl,Industry and consumer goods,0
CC1(C)S[C@H]2N(C(=O)C2(NC(=O)Cc2ccc(O)c(O)c2)C(=O)OCC(Cl)(Cl)Cl)[C@H]1C(=O)O,Pharmaceuticals,0
CC1=CCCC2(C)C(CCC2(O)CN(CC(O)CO)CC23CC4CC(CC(C4)C2)C3)c2ccc(cc2C(=O)Cc2c(F)cccc2Cl)CC(O)CC1,Transformation and metabolic products,1
CC1CS(=O)(=O)c2cc(CC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)ccc21,Transformation and metabolic products,1
CCC(=O)CCCCC[N+]1=C(C=CC2=C(Cl)C(=CC=C3N(CCCCCC(=O)NC)c4ccccc4C3(C)C)CCC2)C(C)(C)c2ccccc21,Industry and consumer goods,0
CCC1(C(O)CNC(C)(C)c2ccc(Cl)cn2)CC(=O)C(C(C)C)=C1C1CCC2C(C)(CCC3C(C)(C)C(OC(=O)CC(C)(C)C(=O)O)CCC32C)C1C,Pharmaceuticals,0
CCC1(CC/C=C/[C@@H]2[C@@H](C/C=C\CCCC(=O)OCCOC(=O)c3cccc(CCCCCCCCCCCCCCCC=N)c3)[C@H](Cl)C[C@H]2N=O)CCC1,Transformation and metabolic products,0
CCCC1=C(C2COc3ccc4cc3N(C2)CC2CCC2C(CN2CCCN(C(C)C)CC2)/C=C/CC(C)C(C)SNC4=O)C=CC(Cl)C1,Industry and consumer goods,1
CCCCC(CN(C)C)N(Cc1cccc(CN2O[C@@H](CO)[C@@H]([C@H](C)O)C2C(=O)NC2C[C@@H](CC)C(C)(C)C[C@@H]2C)c1)Cc1ccccc1Cl,Pharmaceuticals,0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)OC[C@H](Nc1nc(Nc2ccc(C(=O)O)c(Cl)c2)c2ncn(C(C)C)c2n1)C(C)C,Pharmaceuticals,0
CCCCCCC(CCCCCCCC(CCO)CCCCCCCC(CCCCC)CCOc1nc(Cl)nc(NC)n1)CCOc1nc(C)nc(Cl)n1,Transformation and metabolic products,0
CCCCCCCC/C=C\CCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H](C(C)CCCOC(=O)N(CCCl)CCCl)C4CC[C@@H]32)C1,Personal care products,1
CCCCCCCCCCCCCCCCCCCCCCC(=O)OC(C)OC(=O)N1C(N2CCN(C)CC2)=c2ccccc2=Nc2ccc(Cl)cc21,Industry and consumer goods,0
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(I)CCC[Si](C)(C)Cl,Food and other consumption,0
CCCCCCCCCCCCCCCCN(C(=O)CCl)c1ccc(N(CCCCCCCCCCCCCCCC)C(=O)CCl)cc1,Transformation and metabolic products,1
CCCCCCCCOc1ccc(-c2nc(Cl)nc(-c3ccc(OCCCCCCCC)cc3OCCCCCCCC)n2)c(OCCCCCCCC)c1,Food and other consumption,0
CCCCCCN1C(=C/C=C2\CCCC(C=CC3=[N+](CCCCCC)c4ccc(OOC)cc4C3(C)C)=C2Cl)C(C)(C)c2cc(C(=O)O)ccc21,Industry and consumer goods,0
CCCC[N+]1(Cc2cc(C(C)(C)C)cc(C=NC3CCCCC3)c2OC(Cl)Oc2c(C=N)cc(C(C)(C)C)cc2CN2CCN(C)CC2)CCN(C)C1,Transformation and metabolic products,0
CCC[C@H](CC(=O)[C@@H]1C[C@]2(CC(c3cccc(Cl)c3)=NO2)CN1C(=O)[C@@H](NC(=O)[C@@H](Cc1cn[nH]n1)C1CCCCC1)C(C)(C)C)C(O)C(=O)CC1CC1,Pharmaceuticals,0
CCN(C(=O)Nc1ccc(OSc2ccccc2)cc1)C(Cl)C(Br)(Br)Br,Industry and consumer goods,0
CCN(C)CC12CC3CC(C1)CC(C(=O)N1C[C@H](O)CC1C(=O)NC(CC1CCC4CCCCC4C1)C(=O)N(C)CC1CCCCC1Cl)(C3)C2,Pharmaceuticals,1
CCN(c1c(Cl)cc(I)cc1Cl)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F,Transformation and metabolic products,0
CCOC(=O)CN1CCN(C(=O)C2(c3ccccc3)CCN(CCC(CN(C)C(=O)c3cc(OC)c(OC)c(OC)c3)c3ccc(Cl)cc3)CC2)CC1,Pharmaceuticals,0
CC[C@@H](C)[C@H](NC(=O)CCCCCCCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(=O)N[C@@H](Cc1ccc(Br)cc1)C(N)=O,Transformation and metabolic products,0
CC[C@H](CC[C@@]1(C)[C@H](C)CC[C@]2(C)[C@@H]1CC[C@@H]1C3=C(C(C)C)C(=O)C[C@]3(C(O)c3nnc(-c4ccc(Cl)cn4)n3C)CC[C@]12C)OC(=O)CC(C)(C)C(=O)O,Pharmaceuticals,0
CC[C@H](CC[C@@]1(C)[C@H](C)CC[C@]2(C)[C@@H]1CC[C@@H]1C3=C(C(C)C)C(=O)C[C@]3(c3nnc(-c4ccc(Cl)cn4)o3)CC[C@]12C)OC(=O)CC(C)(C)C(=O)O,Pharmaceuticals,0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)CC)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@@H](C)[C@H]2N(CCc3ccc(Cl)cc3)C(=O)O[C@]12C,Industry and consumer goods,0
COCCCN1CCOc2ccc(CO[C@H]3CN(C(=O)OC(C)(C)C)CC[C@]3(O)c3ccc(Cl)cc3CCO[Si](C(C)C)(C(C)C)C(C)C)cc21,Transformation and metabolic products,0
COCCCn1c([C@@H]2CCCN(C(=O)C[C@@H](Cc3ccc(-c4ccc(C(=O)NCCOC)cc4Cl)cc3)N(C(=O)O)C(C)(C)C)C2)nc2ccccc21,Pharmaceuticals,0
COc1ccc(C(N)=O)c(-c2c(Cl)c(F)cc3c2[C@H](C)[C@@](CNC2CCC(C(=O)N4CCC(CC5CCNCC5)CC4)CC2)(c2ccccc2)O3)c1F,Transformation and metabolic products,0
C[Si](C)(Cl)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCI,Food and other consumption,0
Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1Nc1ncnc(Oc2ccc(Br)cc2)c1[N+](=O)[O-],Transformation and metabolic products,0
Cc1cc(NS(=O)(=O)c2nnc(NC(=O)c3ccc(Cl)cc3Cl)s2)ccc1Br,Pharmaceuticals,0
Cc1ccc(COc2c(Cl)cc(/C=C3\C(=O)NC(=S)N(c4cccc(Cl)c4Cl)C3=O)cc2Br)cc1,Transformation and metabolic products,0
ClC(Cl)(Cl)COP(OCC(Cl)(Cl)Cl)(OCC(Cl)(Cl)Cl)(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl,Industry and consumer goods,1
Clc1nc(Oc2c(Br)cc(Br)cc2Br)nc(Oc2c(Br)cc(Br)cc2Br)n1,Food and other consumption,0
Cn1nnnc1C(C=C[C@@H]1C[C@@H](O)CC(=O)O1)=C(c1c(Cl)cccc1Cl)c1c(Cl)cccc1Cl,Transformation and metabolic products,0
N#Cc1ccc(OCC2(COC(=O)C(F)(F)F)CN(S(=O)(=O)c3ccc(Cl)cc3Cl)C2)cc1F,Pharmaceuticals,0
O=C(C(=O)N1N=C(c2ccc(Br)cc2)CC1(O)C(Cl)(Cl)Cl)N1N=C(c2ccc(Br)cc2)CC1(O)C(Cl)(Cl)Cl,Industry and consumer goods,0
O=C(Nc1cncc([N+](=O)[O-])c1)c1cc(NC(=O)[C@H]2[C@H](c3cc(Cl)cc(Cl)c3)C2(Cl)Cl)ccc1Cl,Pharmaceuticals,0
O=C(O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl,Pharmaceuticals,0
O=C1CNC(=O)[C@@H](Cc2ccc(NC(=O)C3(NC(=O)Cc4ccccc4)C[C@H]3c3ccccc3Cl)cc2)NC(=O)CC2(CCCC2)CC(=O)NCCCCCN1,Pharmaceuticals,0
O=C1NC(=S)N(c2ccc(Cl)cc2)C(=O)C1=Cc1c(Sc2ccc(Cl)cc2)nc2sccn12,Industry and consumer goods,0
O=S(=O)(CC(Br)Br)OCC(O)(CC(Cl)(Cl)Cl)c1cc(Br)c(Br)c(Br)c1,Industry and consumer goods,1
C#Cc1cc(C[C@@H](CC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)N2CCC(N3CCCN(C)CC3)CC2)cc(Cl)c1N,Pharmaceuticals,0
C=C(C)OC1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](C)[C@](C)(c5ccc(Cl)cc5)[C@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)OCOC(=O)C(C)(C)C,Pharmaceuticals,0
C=CCCCNc1ccc(SN2CCN(c3cc(C(F)(F)C4(CCPC(=C)N(CCCN)CCCN)CCCCC4)cc(Cl)n3)CC2)cc1,Pharmaceuticals,0
C=CCc1cc(/C=C2\C(=O)NC(=S)N(c3cccc(Cl)c3Cl)C2=O)cc(Br)c1OCc1ccccc1C#N,Transformation and metabolic products,0
C=Cc1cnccc1-c1cc(Cl)c(C(=O)Nc2cnc(-n3nccn3)c(C(F)(F)F)c2)cc1F,Industry and consumer goods,0
C=S(NC)C(C)C(C)C/C=C/C(CN1CCN(C(C)(C)C)CC1)C1CCC1CN1CC(c2ccc(Cl)cc2CCC)COc2ccc(C=O)cc21,Transformation and metabolic products,0
CC(=O)C1N(C(C)=O)C2=C(N(C(C)=O)C(Cl)N=C2Cl)N1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Industry and consumer goods,0
CC(=O)Nc1ccccc1C1=CC(Cl)(C(=S)NC(N)=O)C(O)(OCc2ccccc2)C(Cl)=C1,Personal care products,0
CC(=O)Nc1cnc(S(=O)(=O)Nc2nc(-c3ccc(F)c(Cl)c3)c(Br)s2)c(C)c1,Transformation and metabolic products,0
CC(C)C1=C2C3CCC4C(C)(CCC5C(C)C(OC(=O)CC(C)(C)C(=O)O)CCC54C)C3CCC2(C(O)CN(C)Cc2ccccc2Cl)CC1=O,Transformation and metabolic products,1
CC(C)C1=C2[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)NCc2cccc(Cl)c2)CC1=O,Pharmaceuticals,0
CC1(C)C(=O)Nc2nc(-c3nn(Cc4ncccc4F)c4cc(Cl)ccc34)nnc21,Industry and consumer goods,0
CC1(C)c2ncccc2C(O)=C(c2c(C(F)(F)F)ccc(Cl)c2OCc2ccccc2)S1=S=O,Industry and consumer goods,0
CCCC[C@@H](OC(N)=O)[C@@H](Cl)[C@H](O)CC(=O)C(O)C(O)[C@H](C)CCCCCC(C)CCCCC(=O)O[C@@H]1C[C@@H](C(=O)OC)CC[C@@H]1O,Industry and consumer goods,1
CCOC(=O)c1nn(-c2ccc(Br)cc2F)c(-c2ccc(Cl)cc2)c1S(C)(=O)=O,Industry and consumer goods,0
CCOc1cc(C=NNC(=O)CSc2nnc(N)s2)cc(Br)c1OCc1c(Cl)cccc1Cl,Transformation and metabolic products,0
CC[C@H]1CCCC(CCc2ccc(CCC(=O)c3ccc(C)c(C#Cc4cnc(NC(C=NCCC(C)(C)O)=CN)nc4)c3)cc2Cl)CC1,Pharmaceuticals,0
CC[N+]1=NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnc(C)s4)CSC23)C(Cl)=C1,Pharmaceuticals,0
CNc1ccccc1CCN(C=O)C1CCN(C(=O)O[C@H](Cc2cc(Cl)c(N)c(C(F)(F)F)c2)C(=O)N2CCN(C3CCN(CC(=O)O)CC3)CC2)CC1,Transformation and metabolic products,0
COC(=O)C1=C(CF)NC(C)=C(C(=O)OC2CS(=O)C2)C1c1c(F)ccc(Cl)c1C(F)(F)F,Transformation and metabolic products,0
COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(OCC(=O)NCc6cn(Cc7ccc(Cl)cc7)nn6)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,Transformation and metabolic products,0
COC(=O)c1ccc(CN2C(=O)S/C(=C/c3cc(Cl)c(OCc4ccccc4Cl)c(OC)c3)C2=O)o1,Transformation and metabolic products,0
COC(=O)c1ccccc1-c1c(/C=C/c2ccccc2)c(Cl)cn(Cc2ccccc2)c1=O,Transformation and metabolic products,0
COC1CCC(C(=O)NCCSC(c2cc(Cl)ccc2N)c2ccccc2Cl)CC1,Industry and consumer goods,0
COCCCN1C(=O)CSC1=Nc1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)c(F)cc1Cl,Industry and consumer goods,0
COc1cc(OC(F)F)c(Cl)c2c1C(=O)[C@@]1(O2)C(OCc2ccccc2)=CC(=O)C[C@H]1C,Pharmaceuticals,0
COc1ccc(Cc2cc([C@@H]3OC(CO)(CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)c(F)c1F,Pharmaceuticals,0
Cc1cc(Br)cnc1Sc1c(Cl)cc(NC(=O)NC(=O)c2ccccc2Cl)cc1Cl,Pharmaceuticals,0
Cc1cc(Cl)cc2c1O[C@H](C(F)(F)F)C(C(=O)OCOC(=O)OCCCCOO)=C2,Food and other consumption,0
Cn1c(=O)n2n(c1=O)[C@@H]1C[C@@]3(Cl)C(=O)N(CBr)C(=O)[C@@]3(Cl)[C@@H](c3cc(OC(F)(F)F)ccc3O)C1=CC2,Transformation and metabolic products,0
Cn1c(C(F)(F)F)cc(=O)n(-c2cc(N=C3SCC(O)N3CC(=O)O)c(Cl)cc2F)c1=O,Industry and consumer goods,0
N#Cc1cc(Cl)cc(Oc2c(Cl)ccc(CNC(=O)c3cc4ccncc4n3OC(=O)C(F)(F)F)c2F)c1,Pharmaceuticals,0
N#Cc1nn(-c2cc(Cl)c(Oc3ccc4c(c3)CCN(c3nccs3)C4=O)c(Cl)c2)c(=O)[nH]c1=O,Pharmaceuticals,0
Nc1cc2ccccc2c(-c2c(Cl)cc3c(c2F)SCN3N2CCN(C=CC=O)CC2)n1,Industry and consumer goods,0
O=C(C1=C(O)C(=O)N(c2nnc(SCc3ccc(Cl)cc3)s2)C1c1cccnc1)c1cccs1,Transformation and metabolic products,0
O=C(C1=C(O)C(=O)N(c2nnc(SCc3ccccc3Cl)s2)C1c1cccnc1)c1cccs1,Industry and consumer goods,0
O=C(CSc1nc2ccc(N3C(=O)c4cccc([N+](=O)[O-])c4C3=O)cc2s1)Nc1ccccc1Cl,Industry and consumer goods,0
O=C(Cn1nc(-c2ccc([N+](=O)[O-])cc2Cl)oc1=O)N1CCC2(CC1)OCCO2,Pharmaceuticals,0
O=C(N[C@@H](Cc1ccsc1)C(=O)O)c1ccc(Cl)cc1NS(=O)(=O)C1=CC=CN2SNC=C12,Transformation and metabolic products,0
O=C(O)/C(Cc1c(Br)cccc1[N+](=O)[O-])=N/Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1,Transformation and metabolic products,0
O=C1CC(CNc2nc3nccc(C(=Nc4ccc(F)c(Cl)c4)NO)c3[nH]2)CN1,Industry and consumer goods,0
O=C1CCCc2c1sc1nc(-c3ccc(Cl)s3)c(-c3nc4c(F)cc(Br)cc4[nH]3)n21,Transformation and metabolic products,0
O=C1CSC(c2c(Br)cccc2Br)N1c1cccc(C(F)(F)F)n1,Industry and consumer goods,0
O=S(=O)(O)CN1C(=Cc2sc3ccoc3[n+]2CS(=O)(=O)O)Sc2cc(Cl)c(Cl)cc21,Industry and consumer goods,0
O=c1[nH]c(=O)n(C2CC3OP(=O)(N(CCCl)CCCl)NCC3O2)cc1I,Pharmaceuticals,0
O=c1ccn(-c2cccc(N3CCC(CN4CCN(CCN5CCC(Nc6ncc(Cl)c(-c7c[nH]c8ccccc78)n6)C5)CC4)CC3)c2)c(=O)[nH]1,Pharmaceuticals,1
O=c1cnn(-c2cc(Cl)c(C3(c4nc(-c5ccccc5Cl)cs4)CCc4ccccc43)c(Cl)c2)c(=O)[nH]1,Pharmaceuticals,0
[N-]=[N+]=NCc1c(C(=O)NN2CCCCC2)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Br)cc1,Pharmaceuticals,0
CCOc1cc(/C=C2\SC(=NC(=O)c3ccc(Cl)cc3)NC2=O)cc(I)c1O,Industry and consumer goods,0
COC(=O)COc1c(Cl)cc(/C=N\NC(=O)c2cc3cc(Br)cc(I)c3o2)cc1OC,Transformation and metabolic products,0
COc1c(Br)cc2c(O)c(C3=Nc4cc(Br)ccc4C3=O)[nH]c2c1Br,Food and other consumption,0
